perplexity,trustworthiness,knn_preservation
5,0.8931179586096042,0.25273333333333337
30,0.9234991199517781,0.28352
50,0.9263771133882526,0.28312
60,0.9243746647913736,0.2793733333333333
70,0.9271019462862501,0.27737333333333336
100,0.9246357913066774,0.2676933333333333
