split_id,training_seconds
0,29.25900594900304
1,23.574210093000147
2,35.64581641299446
3,25.876626450000913
4,31.89337522599817
5,27.483170979001443
6,25.645297864000895
7,26.723836149001727
8,28.87013352800568
9,54.14773441699799
10,30.072118623997085
11,51.348619475000305
12,41.42031117300212
13,41.960648508000304
14,31.99103150600422
15,47.24865040700388
16,24.86707273399952
17,38.85153339700628
18,27.82289150499855
19,31.80585864600289
20,45.01237435299845
21,28.860658006997255
22,30.77063712900417
23,25.689237687998684
24,27.333095574002073
25,41.867844490996504
26,28.65887390900025
27,25.132985095995537
28,26.98041946000012
29,26.629518390000158
30,20.021318138002243
31,26.46828887599986
32,29.247635864994663
33,37.08427427699644
34,18.257486219001294
35,20.120239464995393
36,38.91475868600537
37,24.4717035079957
38,28.511038338998333
39,35.992028639004275
40,23.97526913299953
41,33.2905244959984
42,56.44208095399517
43,30.138589878995845
44,35.456459157998324
45,23.192067836003844
46,34.53854110799875
47,31.169319485001324
48,23.889054332998057
49,43.389679874999274
50,28.77732886600279
51,30.10934268299752
52,32.14850551100244
53,65.12135079799918
54,38.96559834800428
55,53.238275365001755
56,32.65901596999902
57,47.9190252949993
58,33.77723074200185
59,24.991684508000617
60,25.91261290699913
61,58.58558444799564
62,30.08103142499749
63,25.484950492995267
64,41.230407268994895
65,25.345794720000413
66,33.107719065999845
67,48.02356250199955
68,33.19103475999873
69,35.279150285998185
70,30.872143371001584
71,41.73283093200007
72,36.55008927099698
73,32.595230767998146
74,42.46988643500663
75,21.04005086699908
76,29.65225310900132
77,24.564227648006636
78,21.833482318994356
79,18.188824300996203
80,22.780774192993704
81,48.39442882900039
82,33.81146905899368
83,29.124046217002615
84,60.20122833700589
85,24.09893201100931
86,29.117105592988082
87,32.64435167500051
88,34.33675670900266
89,46.08669073699275
90,35.30199522600742
91,47.06399288900138
92,52.64691565699468
93,38.20960568501323
94,33.81132396700559
95,43.30714936899312
96,29.554560251999646
97,31.85094486598973
98,24.431911562001915
99,28.90695674000017
