donor,event,method,cluster
a_001_NK.fcs,360,k-means,0
a_001_NK.fcs,401,k-means,3
a_001_NK.fcs,433,k-means,1
a_001_NK.fcs,446,k-means,1
a_001_NK.fcs,449,k-means,3
a_001_NK.fcs,532,k-means,0
a_001_NK.fcs,579,k-means,2
a_001_NK.fcs,599,k-means,0
a_001_NK.fcs,644,k-means,3
a_001_NK.fcs,809,k-means,0
a_001_NK.fcs,993,k-means,0
a_001_NK.fcs,1010,k-means,0
a_001_NK.fcs,1139,k-means,0
a_001_NK.fcs,1197,k-means,0
a_001_NK.fcs,1294,k-means,0
a_001_NK.fcs,1459,k-means,0
a_001_NK.fcs,1468,k-means,0
a_001_NK.fcs,1592,k-means,3
a_001_NK.fcs,1731,k-means,0
a_001_NK.fcs,1764,k-means,0
a_001_NK.fcs,1806,k-means,2
a_001_NK.fcs,1850,k-means,1
a_001_NK.fcs,1860,k-means,2
a_001_NK.fcs,1968,k-means,0
a_001_NK.fcs,2032,k-means,2
a_001_NK.fcs,2052,k-means,2
a_001_NK.fcs,2382,k-means,0
a_001_NK.fcs,2510,k-means,1
a_001_NK.fcs,2607,k-means,0
a_001_NK.fcs,2658,k-means,0
a_001_NK.fcs,2826,k-means,3
a_001_NK.fcs,2881,k-means,2
a_001_NK.fcs,2967,k-means,3
a_001_NK.fcs,2971,k-means,1
a_001_NK.fcs,3034,k-means,3
a_001_NK.fcs,3054,k-means,2
a_001_NK.fcs,3300,k-means,3
a_001_NK.fcs,3394,k-means,2
a_001_NK.fcs,3482,k-means,2
a_001_NK.fcs,3550,k-means,2
a_001_NK.fcs,3559,k-means,3
a_001_NK.fcs,3564,k-means,2
a_001_NK.fcs,3627,k-means,3
a_001_NK.fcs,3659,k-means,0
a_001_NK.fcs,3668,k-means,2
a_001_NK.fcs,4033,k-means,2
a_001_NK.fcs,4113,k-means,2
a_001_NK.fcs,4244,k-means,2
a_001_NK.fcs,4256,k-means,3
a_001_NK.fcs,4359,k-means,2
a_001_NK.fcs,4370,k-means,0
a_001_NK.fcs,4481,k-means,0
a_001_NK.fcs,4535,k-means,0
a_001_NK.fcs,4703,k-means,0
a_001_NK.fcs,4750,k-means,0
a_001_NK.fcs,5009,k-means,0
a_001_NK.fcs,5192,k-means,2
a_001_NK.fcs,5300,k-means,1
a_001_NK.fcs,5447,k-means,2
a_001_NK.fcs,5526,k-means,0
a_001_NK.fcs,5527,k-means,1
a_001_NK.fcs,5772,k-means,2
a_001_NK.fcs,5941,k-means,3
a_001_NK.fcs,6213,k-means,0
a_001_NK.fcs,6450,k-means,1
a_001_NK.fcs,6462,k-means,1
a_001_NK.fcs,6612,k-means,2
a_001_NK.fcs,6751,k-means,0
a_001_NK.fcs,6888,k-means,2
a_001_NK.fcs,6899,k-means,2
a_001_NK.fcs,6928,k-means,0
a_001_NK.fcs,6990,k-means,0
a_001_NK.fcs,7071,k-means,2
a_001_NK.fcs,7079,k-means,3
a_001_NK.fcs,7145,k-means,2
a_001_NK.fcs,7196,k-means,2
a_001_NK.fcs,7258,k-means,2
a_001_NK.fcs,7338,k-means,1
a_001_NK.fcs,7377,k-means,2
a_001_NK.fcs,7390,k-means,2
a_001_NK.fcs,7427,k-means,2
a_001_NK.fcs,7429,k-means,3
a_001_NK.fcs,7495,k-means,2
a_001_NK.fcs,7542,k-means,3
a_001_NK.fcs,7643,k-means,2
a_001_NK.fcs,7659,k-means,3
a_001_NK.fcs,7685,k-means,2
a_001_NK.fcs,7717,k-means,2
a_001_NK.fcs,7723,k-means,3
a_001_NK.fcs,7796,k-means,0
a_001_NK.fcs,7797,k-means,2
a_001_NK.fcs,7838,k-means,0
a_001_NK.fcs,7856,k-means,1
a_001_NK.fcs,7859,k-means,1
a_001_NK.fcs,7915,k-means,2
a_001_NK.fcs,8118,k-means,2
a_001_NK.fcs,8219,k-means,2
a_001_NK.fcs,8327,k-means,2
a_001_NK.fcs,8435,k-means,2
a_001_NK.fcs,8615,k-means,1
a_001_NK.fcs,8650,k-means,1
a_001_NK.fcs,8660,k-means,0
a_001_NK.fcs,8741,k-means,3
a_001_NK.fcs,8742,k-means,0
a_001_NK.fcs,8796,k-means,2
a_001_NK.fcs,8863,k-means,1
a_001_NK.fcs,8928,k-means,1
a_001_NK.fcs,9082,k-means,1
a_001_NK.fcs,9305,k-means,2
a_001_NK.fcs,9327,k-means,2
a_001_NK.fcs,9348,k-means,3
a_001_NK.fcs,9454,k-means,1
a_001_NK.fcs,9474,k-means,0
a_001_NK.fcs,9608,k-means,1
a_001_NK.fcs,9620,k-means,2
a_001_NK.fcs,9704,k-means,0
a_001_NK.fcs,9727,k-means,2
a_001_NK.fcs,9728,k-means,0
a_001_NK.fcs,9808,k-means,0
a_001_NK.fcs,9823,k-means,3
a_001_NK.fcs,9881,k-means,1
a_001_NK.fcs,9958,k-means,0
a_001_NK.fcs,10010,k-means,3
a_001_NK.fcs,10030,k-means,0
a_001_NK.fcs,10077,k-means,2
a_001_NK.fcs,10118,k-means,3
a_001_NK.fcs,10268,k-means,0
a_001_NK.fcs,10289,k-means,1
a_001_NK.fcs,10403,k-means,0
a_001_NK.fcs,10421,k-means,0
a_001_NK.fcs,10500,k-means,3
a_001_NK.fcs,10575,k-means,2
a_001_NK.fcs,10609,k-means,0
a_001_NK.fcs,10640,k-means,0
a_001_NK.fcs,10715,k-means,2
a_001_NK.fcs,10774,k-means,2
a_001_NK.fcs,10810,k-means,2
a_001_NK.fcs,10831,k-means,2
a_001_NK.fcs,11023,k-means,2
a_001_NK.fcs,11032,k-means,0
a_001_NK.fcs,11215,k-means,0
a_001_NK.fcs,11268,k-means,2
a_001_NK.fcs,11379,k-means,2
a_001_NK.fcs,11385,k-means,3
a_001_NK.fcs,11415,k-means,3
a_001_NK.fcs,11437,k-means,0
a_001_NK.fcs,11448,k-means,2
a_001_NK.fcs,11453,k-means,2
a_001_NK.fcs,11477,k-means,0
a_001_NK.fcs,11487,k-means,2
a_001_NK.fcs,11534,k-means,2
a_001_NK.fcs,11750,k-means,2
a_001_NK.fcs,11761,k-means,2
a_001_NK.fcs,11776,k-means,2
a_001_NK.fcs,11790,k-means,3
a_001_NK.fcs,11936,k-means,0
a_001_NK.fcs,11963,k-means,1
a_001_NK.fcs,12120,k-means,2
a_001_NK.fcs,12129,k-means,1
a_001_NK.fcs,12174,k-means,2
a_001_NK.fcs,12210,k-means,2
a_001_NK.fcs,12361,k-means,2
a_001_NK.fcs,12377,k-means,0
a_001_NK.fcs,12414,k-means,1
a_001_NK.fcs,12525,k-means,0
a_001_NK.fcs,12556,k-means,2
a_001_NK.fcs,12574,k-means,0
a_001_NK.fcs,12626,k-means,0
a_001_NK.fcs,12758,k-means,2
a_001_NK.fcs,12759,k-means,2
a_001_NK.fcs,12845,k-means,2
a_001_NK.fcs,12935,k-means,1
a_001_NK.fcs,12990,k-means,0
a_001_NK.fcs,13081,k-means,2
a_001_NK.fcs,13140,k-means,1
a_001_NK.fcs,13143,k-means,2
a_001_NK.fcs,13443,k-means,2
a_001_NK.fcs,13444,k-means,1
a_001_NK.fcs,13531,k-means,2
a_001_NK.fcs,13548,k-means,3
a_001_NK.fcs,13549,k-means,2
a_001_NK.fcs,13574,k-means,2
a_001_NK.fcs,13606,k-means,1
a_001_NK.fcs,13757,k-means,1
a_001_NK.fcs,13891,k-means,0
a_001_NK.fcs,13917,k-means,3
a_001_NK.fcs,14050,k-means,0
a_001_NK.fcs,14236,k-means,2
a_001_NK.fcs,14244,k-means,1
a_001_NK.fcs,14292,k-means,2
a_001_NK.fcs,14297,k-means,2
a_001_NK.fcs,14416,k-means,2
a_001_NK.fcs,14446,k-means,1
a_001_NK.fcs,14488,k-means,3
a_001_NK.fcs,14639,k-means,2
a_001_NK.fcs,14649,k-means,3
a_001_NK.fcs,14758,k-means,2
a_001_NK.fcs,14842,k-means,1
a_001_NK.fcs,14849,k-means,2
a_001_NK.fcs,14862,k-means,2
a_001_NK.fcs,14991,k-means,2
a_001_NK.fcs,15093,k-means,3
a_001_NK.fcs,15354,k-means,0
a_001_NK.fcs,15422,k-means,2
a_001_NK.fcs,15739,k-means,1
a_001_NK.fcs,15838,k-means,1
a_001_NK.fcs,15870,k-means,1
a_001_NK.fcs,15949,k-means,2
a_001_NK.fcs,16053,k-means,1
a_001_NK.fcs,16214,k-means,1
a_001_NK.fcs,16277,k-means,0
a_001_NK.fcs,16284,k-means,0
a_001_NK.fcs,16331,k-means,2
a_001_NK.fcs,16386,k-means,2
a_001_NK.fcs,16502,k-means,1
a_001_NK.fcs,16556,k-means,0
a_001_NK.fcs,16585,k-means,2
a_001_NK.fcs,16588,k-means,1
a_001_NK.fcs,16594,k-means,0
a_001_NK.fcs,17089,k-means,2
a_001_NK.fcs,17481,k-means,1
a_001_NK.fcs,17908,k-means,3
a_001_NK.fcs,18018,k-means,1
a_001_NK.fcs,18250,k-means,1
a_001_NK.fcs,18470,k-means,2
a_001_NK.fcs,18487,k-means,0
a_001_NK.fcs,18566,k-means,2
a_001_NK.fcs,18676,k-means,2
a_001_NK.fcs,18771,k-means,2
a_001_NK.fcs,18796,k-means,0
a_001_NK.fcs,19032,k-means,2
a_001_NK.fcs,19059,k-means,0
a_001_NK.fcs,19297,k-means,2
a_001_NK.fcs,19306,k-means,0
a_001_NK.fcs,19338,k-means,2
a_001_NK.fcs,19367,k-means,0
a_001_NK.fcs,19387,k-means,2
a_001_NK.fcs,19462,k-means,2
a_001_NK.fcs,19505,k-means,0
a_001_NK.fcs,19603,k-means,3
a_001_NK.fcs,19650,k-means,2
a_001_NK.fcs,19689,k-means,3
a_001_NK.fcs,19785,k-means,2
a_001_NK.fcs,19909,k-means,2
a_001_NK.fcs,19992,k-means,2
a_001_NK.fcs,20124,k-means,2
a_001_NK.fcs,20203,k-means,2
a_001_NK.fcs,20272,k-means,1
a_001_NK.fcs,20281,k-means,2
a_001_NK.fcs,20421,k-means,0
a_001_NK.fcs,20422,k-means,2
a_001_NK.fcs,20468,k-means,2
a_001_NK.fcs,20493,k-means,2
a_001_NK.fcs,20782,k-means,1
a_001_NK.fcs,20904,k-means,2
a_001_NK.fcs,20929,k-means,2
a_001_NK.fcs,21180,k-means,3
a_001_NK.fcs,21292,k-means,1
a_001_NK.fcs,21444,k-means,2
a_001_NK.fcs,21485,k-means,3
a_001_NK.fcs,21676,k-means,1
a_001_NK.fcs,21789,k-means,2
a_001_NK.fcs,21834,k-means,2
a_001_NK.fcs,21987,k-means,2
a_001_NK.fcs,22198,k-means,2
a_001_NK.fcs,22202,k-means,3
a_001_NK.fcs,22247,k-means,2
a_001_NK.fcs,22260,k-means,2
a_001_NK.fcs,22427,k-means,0
a_001_NK.fcs,22510,k-means,2
a_001_NK.fcs,22517,k-means,0
a_001_NK.fcs,22529,k-means,0
a_001_NK.fcs,22567,k-means,2
a_001_NK.fcs,22828,k-means,0
a_001_NK.fcs,22878,k-means,2
a_001_NK.fcs,22924,k-means,1
a_001_NK.fcs,22926,k-means,0
a_001_NK.fcs,22959,k-means,2
a_001_NK.fcs,23117,k-means,3
a_001_NK.fcs,23226,k-means,2
a_001_NK.fcs,23306,k-means,2
a_001_NK.fcs,23319,k-means,0
a_001_NK.fcs,23423,k-means,3
a_001_NK.fcs,23475,k-means,3
a_001_NK.fcs,23554,k-means,0
a_001_NK.fcs,23624,k-means,3
a_001_NK.fcs,23651,k-means,1
a_001_NK.fcs,23715,k-means,3
a_001_NK.fcs,23738,k-means,0
a_001_NK.fcs,23758,k-means,0
a_001_NK.fcs,23921,k-means,1
a_001_NK.fcs,24050,k-means,0
a_001_NK.fcs,24239,k-means,2
a_001_NK.fcs,24254,k-means,0
a_001_NK.fcs,24332,k-means,0
a_001_NK.fcs,24404,k-means,0
a_001_NK.fcs,24475,k-means,0
a_001_NK.fcs,24577,k-means,2
a_001_NK.fcs,24579,k-means,1
a_001_NK.fcs,24607,k-means,0
a_001_NK.fcs,24667,k-means,2
a_001_NK.fcs,24759,k-means,0
a_001_NK.fcs,24786,k-means,2
a_001_NK.fcs,24796,k-means,2
a_001_NK.fcs,24950,k-means,2
a_001_NK.fcs,25069,k-means,2
a_001_NK.fcs,25175,k-means,3
a_001_NK.fcs,25310,k-means,3
a_001_NK.fcs,25360,k-means,3
a_001_NK.fcs,25400,k-means,2
a_001_NK.fcs,25430,k-means,2
a_001_NK.fcs,25654,k-means,2
a_001_NK.fcs,25690,k-means,2
a_001_NK.fcs,25770,k-means,0
a_001_NK.fcs,25806,k-means,1
a_001_NK.fcs,25808,k-means,3
a_001_NK.fcs,25898,k-means,2
a_001_NK.fcs,25900,k-means,2
a_001_NK.fcs,26028,k-means,3
a_001_NK.fcs,26036,k-means,2
a_001_NK.fcs,26087,k-means,1
a_001_NK.fcs,26089,k-means,1
a_001_NK.fcs,26176,k-means,3
a_001_NK.fcs,26181,k-means,2
a_001_NK.fcs,26186,k-means,3
a_001_NK.fcs,26271,k-means,2
a_001_NK.fcs,26470,k-means,2
a_001_NK.fcs,26518,k-means,2
a_001_NK.fcs,26840,k-means,3
a_001_NK.fcs,26878,k-means,2
a_001_NK.fcs,26909,k-means,3
a_001_NK.fcs,26915,k-means,2
a_001_NK.fcs,27061,k-means,1
a_001_NK.fcs,27242,k-means,2
a_001_NK.fcs,27344,k-means,2
a_001_NK.fcs,27378,k-means,2
a_001_NK.fcs,27415,k-means,2
a_001_NK.fcs,27631,k-means,0
a_001_NK.fcs,27718,k-means,0
a_001_NK.fcs,27928,k-means,2
a_001_NK.fcs,28209,k-means,0
a_001_NK.fcs,28301,k-means,2
a_001_NK.fcs,28308,k-means,2
a_001_NK.fcs,28847,k-means,1
a_001_NK.fcs,28877,k-means,1
a_001_NK.fcs,29289,k-means,2
a_001_NK.fcs,29494,k-means,2
a_001_NK.fcs,29613,k-means,0
a_001_NK.fcs,29616,k-means,3
a_001_NK.fcs,29685,k-means,1
a_001_NK.fcs,29690,k-means,2
a_001_NK.fcs,29839,k-means,1
a_001_NK.fcs,29859,k-means,3
a_001_NK.fcs,29889,k-means,0
a_001_NK.fcs,30007,k-means,3
a_001_NK.fcs,30027,k-means,2
a_001_NK.fcs,30118,k-means,2
a_001_NK.fcs,30152,k-means,2
a_001_NK.fcs,30162,k-means,2
a_001_NK.fcs,30288,k-means,1
a_001_NK.fcs,30521,k-means,3
a_001_NK.fcs,30527,k-means,1
a_001_NK.fcs,30598,k-means,0
a_001_NK.fcs,30616,k-means,0
a_001_NK.fcs,30896,k-means,1
a_001_NK.fcs,30952,k-means,2
a_001_NK.fcs,31046,k-means,2
a_001_NK.fcs,31057,k-means,0
a_001_NK.fcs,31100,k-means,1
a_001_NK.fcs,31463,k-means,1
a_001_NK.fcs,31547,k-means,1
a_001_NK.fcs,31553,k-means,2
a_001_NK.fcs,32107,k-means,1
a_001_NK.fcs,32228,k-means,2
a_001_NK.fcs,32507,k-means,2
a_001_NK.fcs,32736,k-means,3
a_001_NK.fcs,32976,k-means,3
a_001_NK.fcs,33098,k-means,2
a_001_NK.fcs,33115,k-means,3
a_001_NK.fcs,33238,k-means,3
a_001_NK.fcs,33282,k-means,1
a_001_NK.fcs,33343,k-means,3
a_001_NK.fcs,33355,k-means,1
a_001_NK.fcs,33438,k-means,2
a_001_NK.fcs,33513,k-means,2
a_001_NK.fcs,33637,k-means,1
a_001_NK.fcs,33756,k-means,2
a_001_NK.fcs,33843,k-means,1
a_001_NK.fcs,33885,k-means,1
a_001_NK.fcs,33918,k-means,2
a_001_NK.fcs,34059,k-means,2
a_001_NK.fcs,34090,k-means,2
a_001_NK.fcs,34092,k-means,0
a_001_NK.fcs,34121,k-means,2
a_001_NK.fcs,34163,k-means,1
a_001_NK.fcs,34278,k-means,3
a_001_NK.fcs,34349,k-means,2
a_001_NK.fcs,34412,k-means,3
a_001_NK.fcs,34432,k-means,2
a_001_NK.fcs,34794,k-means,1
a_001_NK.fcs,34847,k-means,2
a_001_NK.fcs,35143,k-means,2
a_001_NK.fcs,35207,k-means,2
a_001_NK.fcs,35216,k-means,2
a_001_NK.fcs,35242,k-means,2
a_001_NK.fcs,35342,k-means,2
a_001_NK.fcs,35387,k-means,1
a_001_NK.fcs,35418,k-means,0
a_001_NK.fcs,35433,k-means,0
a_001_NK.fcs,35446,k-means,1
a_001_NK.fcs,35469,k-means,2
a_001_NK.fcs,35513,k-means,2
a_001_NK.fcs,35532,k-means,1
a_001_NK.fcs,35537,k-means,0
a_001_NK.fcs,35560,k-means,1
a_001_NK.fcs,35576,k-means,2
a_001_NK.fcs,35586,k-means,2
a_001_NK.fcs,35693,k-means,3
a_001_NK.fcs,35804,k-means,2
a_001_NK.fcs,35824,k-means,2
a_001_NK.fcs,35943,k-means,3
a_001_NK.fcs,36003,k-means,2
a_001_NK.fcs,36073,k-means,3
a_001_NK.fcs,36266,k-means,2
a_001_NK.fcs,36324,k-means,0
a_001_NK.fcs,36366,k-means,0
a_001_NK.fcs,36414,k-means,0
a_001_NK.fcs,36451,k-means,3
a_001_NK.fcs,36474,k-means,2
a_001_NK.fcs,36511,k-means,2
a_001_NK.fcs,36636,k-means,2
a_001_NK.fcs,36640,k-means,0
a_001_NK.fcs,36647,k-means,2
a_001_NK.fcs,36703,k-means,2
a_001_NK.fcs,36726,k-means,3
a_001_NK.fcs,36892,k-means,2
a_001_NK.fcs,37142,k-means,3
a_001_NK.fcs,37166,k-means,0
a_001_NK.fcs,37241,k-means,3
a_001_NK.fcs,37292,k-means,2
a_001_NK.fcs,37300,k-means,2
a_001_NK.fcs,37306,k-means,0
a_001_NK.fcs,37373,k-means,1
a_001_NK.fcs,37496,k-means,1
a_001_NK.fcs,37565,k-means,0
a_001_NK.fcs,37642,k-means,2
a_001_NK.fcs,37656,k-means,0
a_001_NK.fcs,37681,k-means,0
a_001_NK.fcs,37712,k-means,2
a_001_NK.fcs,37737,k-means,0
a_001_NK.fcs,37747,k-means,2
a_001_NK.fcs,37776,k-means,2
a_001_NK.fcs,37878,k-means,2
a_001_NK.fcs,37919,k-means,2
a_001_NK.fcs,37977,k-means,1
a_001_NK.fcs,37980,k-means,0
a_001_NK.fcs,38116,k-means,0
a_001_NK.fcs,38219,k-means,2
a_001_NK.fcs,38226,k-means,2
a_001_NK.fcs,38230,k-means,2
a_001_NK.fcs,38357,k-means,2
a_001_NK.fcs,38369,k-means,2
a_001_NK.fcs,38401,k-means,0
a_001_NK.fcs,38643,k-means,2
a_001_NK.fcs,38722,k-means,1
a_001_NK.fcs,38909,k-means,2
a_001_NK.fcs,39008,k-means,2
a_001_NK.fcs,39020,k-means,3
a_001_NK.fcs,39041,k-means,2
a_001_NK.fcs,39160,k-means,2
a_001_NK.fcs,39262,k-means,1
a_001_NK.fcs,39278,k-means,2
a_001_NK.fcs,39352,k-means,0
a_001_NK.fcs,39355,k-means,3
a_001_NK.fcs,39419,k-means,2
a_001_NK.fcs,39714,k-means,2
a_001_NK.fcs,39950,k-means,0
a_001_NK.fcs,40045,k-means,1
a_001_NK.fcs,40057,k-means,2
a_001_NK.fcs,40106,k-means,2
a_001_NK.fcs,40189,k-means,2
a_001_NK.fcs,40297,k-means,2
a_001_NK.fcs,40361,k-means,0
a_001_NK.fcs,40377,k-means,0
a_001_NK.fcs,40397,k-means,0
a_001_NK.fcs,40509,k-means,2
a_001_NK.fcs,40535,k-means,2
a_001_NK.fcs,40701,k-means,2
a_001_NK.fcs,40807,k-means,2
a_001_NK.fcs,40820,k-means,0
a_001_NK.fcs,40837,k-means,2
a_001_NK.fcs,40925,k-means,2
a_001_NK.fcs,41150,k-means,3
a_001_NK.fcs,41176,k-means,0
a_001_NK.fcs,41266,k-means,2
a_001_NK.fcs,41310,k-means,0
a_001_NK.fcs,41389,k-means,3
a_001_NK.fcs,41390,k-means,2
a_001_NK.fcs,41472,k-means,0
a_001_NK.fcs,41569,k-means,0
a_001_NK.fcs,41746,k-means,2
a_001_NK.fcs,41819,k-means,2
a_001_NK.fcs,41876,k-means,1
a_001_NK.fcs,42063,k-means,0
a_001_NK.fcs,42131,k-means,0
a_001_NK.fcs,42210,k-means,2
a_001_NK.fcs,42246,k-means,0
a_001_NK.fcs,42340,k-means,2
a_001_NK.fcs,42385,k-means,2
a_001_NK.fcs,42473,k-means,2
a_001_NK.fcs,42497,k-means,2
a_001_NK.fcs,42605,k-means,3
a_001_NK.fcs,42697,k-means,3
a_001_NK.fcs,42821,k-means,2
a_001_NK.fcs,42874,k-means,2
a_001_NK.fcs,42896,k-means,1
a_001_NK.fcs,42906,k-means,2
a_001_NK.fcs,42962,k-means,2
a_001_NK.fcs,43331,k-means,2
a_001_NK.fcs,43423,k-means,2
a_001_NK.fcs,43453,k-means,2
a_001_NK.fcs,43545,k-means,2
a_001_NK.fcs,43601,k-means,2
a_001_NK.fcs,43672,k-means,2
a_001_NK.fcs,43677,k-means,0
a_001_NK.fcs,43890,k-means,2
a_001_NK.fcs,43920,k-means,3
a_001_NK.fcs,43932,k-means,1
a_001_NK.fcs,44215,k-means,1
a_001_NK.fcs,44229,k-means,2
a_001_NK.fcs,44254,k-means,1
a_001_NK.fcs,44310,k-means,2
a_001_NK.fcs,44372,k-means,2
a_001_NK.fcs,44375,k-means,2
a_001_NK.fcs,44480,k-means,2
a_001_NK.fcs,44482,k-means,2
a_001_NK.fcs,44519,k-means,2
a_001_NK.fcs,44601,k-means,1
a_001_NK.fcs,44649,k-means,2
a_001_NK.fcs,44657,k-means,2
a_001_NK.fcs,44711,k-means,2
a_001_NK.fcs,44753,k-means,0
a_001_NK.fcs,45024,k-means,0
a_001_NK.fcs,45069,k-means,2
a_001_NK.fcs,45092,k-means,1
a_001_NK.fcs,45119,k-means,0
a_001_NK.fcs,45203,k-means,2
a_001_NK.fcs,45227,k-means,0
a_001_NK.fcs,45250,k-means,2
a_001_NK.fcs,45305,k-means,1
a_001_NK.fcs,45337,k-means,0
a_001_NK.fcs,45388,k-means,3
a_001_NK.fcs,45392,k-means,2
a_001_NK.fcs,45404,k-means,0
a_001_NK.fcs,45551,k-means,0
a_001_NK.fcs,45554,k-means,0
a_001_NK.fcs,45951,k-means,1
a_001_NK.fcs,46038,k-means,1
a_001_NK.fcs,46052,k-means,2
a_001_NK.fcs,46318,k-means,1
a_001_NK.fcs,46342,k-means,2
a_001_NK.fcs,46381,k-means,2
a_001_NK.fcs,46565,k-means,2
a_001_NK.fcs,46659,k-means,1
a_001_NK.fcs,46780,k-means,2
a_001_NK.fcs,46802,k-means,3
a_001_NK.fcs,46957,k-means,2
a_001_NK.fcs,47078,k-means,0
a_001_NK.fcs,47114,k-means,1
a_001_NK.fcs,47236,k-means,2
a_001_NK.fcs,47266,k-means,2
a_001_NK.fcs,47408,k-means,2
a_001_NK.fcs,47462,k-means,2
a_001_NK.fcs,47505,k-means,2
a_001_NK.fcs,47544,k-means,2
a_001_NK.fcs,47625,k-means,2
a_001_NK.fcs,47642,k-means,3
a_001_NK.fcs,47942,k-means,2
a_001_NK.fcs,48215,k-means,2
a_001_NK.fcs,48301,k-means,3
a_001_NK.fcs,48327,k-means,1
a_001_NK.fcs,48398,k-means,1
a_001_NK.fcs,48399,k-means,1
a_001_NK.fcs,48411,k-means,2
a_001_NK.fcs,48536,k-means,1
a_001_NK.fcs,48650,k-means,3
a_001_NK.fcs,48682,k-means,2
a_001_NK.fcs,48689,k-means,3
a_001_NK.fcs,48751,k-means,0
a_001_NK.fcs,48816,k-means,0
a_001_NK.fcs,48980,k-means,0
a_001_NK.fcs,48983,k-means,2
a_001_NK.fcs,48995,k-means,1
a_001_NK.fcs,49107,k-means,0
a_001_NK.fcs,49193,k-means,1
a_001_NK.fcs,49345,k-means,2
a_001_NK.fcs,49496,k-means,1
a_001_NK.fcs,49504,k-means,1
a_001_NK.fcs,49511,k-means,3
a_001_NK.fcs,49580,k-means,0
a_001_NK.fcs,49791,k-means,1
a_001_NK.fcs,49971,k-means,2
a_001_NK.fcs,50183,k-means,0
a_001_NK.fcs,50272,k-means,1
a_001_NK.fcs,50281,k-means,3
a_001_NK.fcs,50295,k-means,2
a_001_NK.fcs,50376,k-means,2
a_001_NK.fcs,50489,k-means,2
a_001_NK.fcs,50541,k-means,2
a_001_NK.fcs,50575,k-means,3
a_001_NK.fcs,50675,k-means,2
a_001_NK.fcs,50756,k-means,1
a_001_NK.fcs,50785,k-means,1
a_001_NK.fcs,50992,k-means,2
a_001_NK.fcs,51165,k-means,2
a_001_NK.fcs,51204,k-means,0
a_001_NK.fcs,51268,k-means,1
a_001_NK.fcs,51286,k-means,2
a_001_NK.fcs,51378,k-means,3
a_001_NK.fcs,51394,k-means,2
a_001_NK.fcs,51432,k-means,2
a_001_NK.fcs,51533,k-means,1
a_001_NK.fcs,51700,k-means,3
a_001_NK.fcs,51789,k-means,1
a_001_NK.fcs,51843,k-means,1
a_001_NK.fcs,51847,k-means,3
a_001_NK.fcs,51885,k-means,1
a_001_NK.fcs,51887,k-means,1
a_001_NK.fcs,52071,k-means,0
a_001_NK.fcs,52168,k-means,0
a_001_NK.fcs,52218,k-means,0
a_001_NK.fcs,52307,k-means,3
a_001_NK.fcs,52340,k-means,2
a_001_NK.fcs,52378,k-means,2
a_001_NK.fcs,52405,k-means,1
a_001_NK.fcs,52621,k-means,2
a_001_NK.fcs,52634,k-means,2
a_001_NK.fcs,53006,k-means,2
a_001_NK.fcs,53234,k-means,0
a_001_NK.fcs,53301,k-means,3
a_001_NK.fcs,53331,k-means,0
a_001_NK.fcs,53344,k-means,0
a_001_NK.fcs,53404,k-means,0
a_001_NK.fcs,53406,k-means,2
a_001_NK.fcs,53496,k-means,1
a_001_NK.fcs,53519,k-means,2
a_001_NK.fcs,53701,k-means,0
a_001_NK.fcs,53835,k-means,2
a_001_NK.fcs,53891,k-means,1
a_001_NK.fcs,53923,k-means,2
a_001_NK.fcs,53932,k-means,2
a_001_NK.fcs,53980,k-means,2
a_001_NK.fcs,54055,k-means,1
a_001_NK.fcs,54099,k-means,2
a_001_NK.fcs,54132,k-means,0
a_001_NK.fcs,54140,k-means,2
a_001_NK.fcs,54202,k-means,2
a_001_NK.fcs,54281,k-means,2
a_001_NK.fcs,54368,k-means,3
a_001_NK.fcs,54438,k-means,2
a_001_NK.fcs,54525,k-means,0
a_001_NK.fcs,54683,k-means,2
a_001_NK.fcs,54686,k-means,2
a_001_NK.fcs,54768,k-means,3
a_001_NK.fcs,54878,k-means,2
a_001_NK.fcs,54985,k-means,2
a_001_NK.fcs,54991,k-means,0
a_001_NK.fcs,55081,k-means,2
a_001_NK.fcs,55164,k-means,3
a_001_NK.fcs,55287,k-means,2
a_001_NK.fcs,55391,k-means,0
a_001_NK.fcs,55570,k-means,3
a_001_NK.fcs,55589,k-means,0
a_001_NK.fcs,55724,k-means,2
a_001_NK.fcs,55731,k-means,2
a_001_NK.fcs,55732,k-means,2
a_001_NK.fcs,55878,k-means,1
a_001_NK.fcs,55922,k-means,1
a_001_NK.fcs,56203,k-means,0
a_001_NK.fcs,56222,k-means,1
a_001_NK.fcs,56223,k-means,1
a_001_NK.fcs,56336,k-means,0
a_001_NK.fcs,56468,k-means,2
a_001_NK.fcs,56718,k-means,0
a_001_NK.fcs,56753,k-means,2
a_001_NK.fcs,56755,k-means,2
a_001_NK.fcs,56786,k-means,0
a_001_NK.fcs,56834,k-means,2
a_001_NK.fcs,56966,k-means,2
a_001_NK.fcs,56999,k-means,1
a_001_NK.fcs,57008,k-means,0
a_001_NK.fcs,57045,k-means,2
a_001_NK.fcs,57323,k-means,2
a_001_NK.fcs,57378,k-means,2
a_001_NK.fcs,57411,k-means,2
a_001_NK.fcs,57424,k-means,0
a_001_NK.fcs,57560,k-means,2
a_001_NK.fcs,57778,k-means,0
a_001_NK.fcs,58045,k-means,0
a_001_NK.fcs,58348,k-means,2
