embedding,trustworthiness,knn_preservation,distance_correlation,silhouette_cmv
PCA,0.7258040599177861,0.006006666666666666,0.6203989751697813,0.0016228683525696397
t-SNE,0.9611521393134386,0.15963333333333332,0.4868464753302244,0.01043630763888359
UMAP,0.9008583288307443,0.07853833333333333,0.395356866643417,0.017801865935325623
