n_neighbors,min_dist,learning_rate,trustworthiness,knn_preservation
5,0.0,0.1,0.8901563458576117,0.22362666666666664
5,0.0,0.5,0.8915614573705712,0.21843999999999997
5,0.0,1.0,0.8881872935503315,0.2141733333333333
5,0.0,5.0,0.8741316616435604,0.1939333333333333
5,0.1,0.1,0.8732240707253366,0.2053333333333333
5,0.1,0.5,0.8828639608867457,0.19759999999999997
5,0.1,1.0,0.8727270725336548,0.19496
5,0.1,5.0,0.8599641095706918,0.17656
5,0.5,0.1,0.8179931444645369,0.1222
5,0.5,0.5,0.8183303757283504,0.11661333333333332
5,0.5,1.0,0.8212902792847097,0.11698666666666668
5,0.5,5.0,0.8182857678655147,0.11448
5,1.0,0.1,0.7599872587234613,0.07290666666666666
5,1.0,0.5,0.7883524747170316,0.08132
5,1.0,1.0,0.7908184180563927,0.08070666666666666
5,1.0,5.0,0.7939477972004554,0.07945333333333333
15,0.0,0.1,0.8888326193824928,0.19942666666666664
15,0.0,0.5,0.8841646185787958,0.18908
15,0.0,1.0,0.8847752782800884,0.18554666666666667
15,0.0,5.0,0.8613100770209631,0.15556
15,0.1,0.1,0.8703228986672025,0.17150666666666667
15,0.1,0.5,0.867361023374188,0.16447999999999996
15,0.1,1.0,0.8651416221284576,0.16044
15,0.1,5.0,0.8498066867590919,0.13914666666666667
15,0.5,0.1,0.8254941557832697,0.10684
15,0.5,0.5,0.8218677757685353,0.10178666666666665
15,0.5,1.0,0.823633155180497,0.1022
15,0.5,5.0,0.8248245529435403,0.09967999999999999
15,1.0,0.1,0.7974844096175742,0.07937333333333334
15,1.0,0.5,0.8042579010113187,0.07733333333333332
15,1.0,1.0,0.8042009537204474,0.07644
15,1.0,5.0,0.8009188667872212,0.0748
50,0.0,0.1,0.8807298747572165,0.16941333333333333
50,0.0,0.5,0.8746125644631974,0.1587333333333333
50,0.0,1.0,0.8712319657089278,0.15277333333333332
50,0.0,5.0,0.8514319576719577,0.12345333333333333
50,0.1,0.1,0.8660148228517849,0.14628
50,0.1,0.5,0.8617952528296833,0.13965333333333332
50,0.1,1.0,0.856471352220213,0.1344
50,0.1,5.0,0.8436878574777309,0.11281333333333335
50,0.5,0.1,0.8279100073672225,0.09581333333333332
50,0.5,0.5,0.8245519308820575,0.09394666666666666
50,0.5,1.0,0.8274124171187462,0.09387999999999999
50,0.5,5.0,0.8228153104279686,0.08834666666666666
50,1.0,0.1,0.8066351483490724,0.07482666666666667
50,1.0,0.5,0.8077879472238966,0.07585333333333333
50,1.0,1.0,0.8058768387917755,0.07432000000000001
50,1.0,5.0,0.8036283517513897,0.07103999999999999
100,0.0,0.1,0.8735968843346058,0.15493333333333334
100,0.0,0.5,0.8662296430245797,0.14485333333333333
100,0.0,1.0,0.8601134525483892,0.13657333333333332
100,0.0,5.0,0.8424415939990624,0.10508000000000002
100,0.1,0.1,0.8571593704373451,0.13302666666666665
100,0.1,0.5,0.8545343593865113,0.12798666666666667
100,0.1,1.0,0.8521830661040788,0.12345333333333333
100,0.1,5.0,0.8386493148483022,0.1004
100,0.5,0.1,0.8271387582881253,0.093
100,0.5,0.5,0.823015602437881,0.09021333333333333
100,0.5,1.0,0.8227222798205076,0.08682666666666666
100,0.5,5.0,0.8124723005826804,0.07738666666666667
100,1.0,0.1,0.8081522871877302,0.07404
100,1.0,0.5,0.8048557792512223,0.07322666666666666
100,1.0,1.0,0.8053351336146273,0.07222666666666666
100,1.0,5.0,0.7979626789900207,0.06473333333333334
