pair,knn_preservation,procrustes_disparity
PCA vs t-SNE,0.00603,0.44219072437249196
PCA vs UMAP,0.004346666666666667,0.5541896345289078
t-SNE vs UMAP,0.12766166666666665,0.36830837694981783
