embedding,trustworthiness,knn_preservation,distance_correlation,silhouette_cmv
PCA,0.7258040599177861,0.007203333333333333,0.6203989751697813,0.0016228683525696397
t-SNE,0.9608494497669493,0.21621500000000002,0.4799146581705869,0.010328059084713459
UMAP,0.8837668090818888,0.11218833333333332,0.43167556333954343,0.0090421661734581
