split_id,CellCNN − Citrus,CellCNN − lineare SVM
0,0.5,0.0
1,0.3125,0.125
2,0.25,0.25
3,0.75,0.0
4,0.0,0.375
5,0.75,0.0
6,0.375,0.125
7,0.0625,0.125
8,0.5,-0.25
9,0.375,0.375
10,0.125,0.0
11,0.125,0.125
12,0.125,0.0
13,0.25,0.125
14,0.0,0.0
15,0.25,-0.125
16,0.125,0.125
17,0.125,-0.25
18,0.125,0.0
19,0.0,-0.375
20,0.25,0.0
21,-0.125,0.0
22,0.0,-0.375
23,-0.25,-0.25
24,0.5,0.0
25,0.0,0.125
26,0.375,0.0
27,0.4375,0.0
28,0.0,0.125
29,0.25,0.125
