cell_id,sample_id,event_index
gated_alive:a_002:39627,a_002,39627
gated_alive:a_002:39705,a_002,39705
gated_alive:a_002:39805,a_002,39805
gated_alive:a_002:40093,a_002,40093
gated_alive:a_002:40525,a_002,40525
gated_alive:a_002:40956,a_002,40956
gated_alive:a_002:41604,a_002,41604
gated_alive:a_002:41928,a_002,41928
gated_alive:a_002:41962,a_002,41962
gated_alive:a_002:42356,a_002,42356
gated_alive:a_002:42448,a_002,42448
gated_alive:a_002:42733,a_002,42733
gated_alive:a_002:42935,a_002,42935
gated_alive:a_002:43088,a_002,43088
gated_alive:a_002:43118,a_002,43118
gated_alive:a_002:43175,a_002,43175
gated_alive:a_002:43207,a_002,43207
