split_id,training_seconds
0,16.511591397000302
1,15.676726194993535
2,15.333996109002328
3,21.744314688003215
4,21.467918739996094
5,18.45683099499729
6,17.90893424800015
7,14.91008237299684
8,14.544395532000635
9,42.09403777400439
10,22.264287386002252
11,27.881516900997667
12,19.64114326499839
13,28.771359047997976
14,13.73280621599406
15,21.790110606998496
16,18.049631082001724
17,25.431169179006247
18,14.721012549998704
19,19.227756430998852
20,38.57907925200561
21,23.601783149002586
22,13.578825127995515
23,24.198253636997833
24,15.068386043996725
25,41.490653434004344
26,17.266524010003195
27,15.12609624700417
28,17.940038538996305
29,15.1227330959955
30,15.152325864000886
31,26.432057200996496
32,16.917624687004718
33,31.255622715994832
34,17.26747641000111
35,16.60972819100425
36,31.25997390900011
37,15.475618792996102
38,15.500196638997295
39,15.512302406001254
40,15.580421631995705
41,17.22460813199723
42,29.101197050003975
43,14.144947546003095
44,20.770586298000126
45,14.571356033004122
46,16.174947568004427
47,19.99569125099515
48,13.972263271003612
49,14.311808409998775
50,13.472861146998184
51,23.469287983003596
52,18.023651855000935
53,21.93600917799631
54,14.182260070003395
55,15.740051868997398
56,15.360889623996627
57,30.381490197003586
58,14.89161424899794
59,12.588621913993848
60,15.528305403000559
61,23.724154440998973
62,23.366242786003568
63,14.386790447002568
64,20.702163290996396
65,16.197206376004033
66,17.087830921002023
67,38.77194200699887
68,17.104005027998937
69,21.48570535700128
70,13.687259138001536
71,19.78785712899844
72,12.829464636000921
73,27.83887347199925
74,21.078317464001884
75,14.03687573800562
76,18.77825698399829
77,13.580807764003112
78,16.587135638998006
79,12.823802742997941
80,17.84856468000362
81,27.676653026006534
82,28.91237683799409
83,15.631470031999925
84,32.07729672000278
85,13.860055295997881
86,17.245779229997424
87,18.411488675999863
88,15.631094716998632
89,44.56521523599804
90,21.466800803995284
91,16.421824078999634
92,21.3741266299985
93,24.594206508001662
94,14.78136558499682
95,19.15434522600117
96,13.305429034000554
97,16.493093648001377
98,16.63595033999445
99,16.65856033899763
