split_id,split_seed,gate,run_mode,marker,weight,intercept,scaler_mean,scaler_scale,cofactor,top_fraction,best_C,decision_threshold,negative_class,positive_class
0,3003105692,gated_alive,full,CD3,0.07639905067189419,0.00025520667359745804,3.230175821371183,1.8149725454867203,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD27,-0.01757800498268965,0.00025520667359745804,0.750317251987923,1.0287697923352173,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD19,-0.02271504625571505,0.00025520667359745804,0.660054088486147,1.1548824676082758,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD4,0.006389999090818625,0.00025520667359745804,1.0298426312670488,1.2374919203017083,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD8,0.03772896079838245,0.00025520667359745804,1.8788564255998417,1.6713190611374122,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD57,0.09812885803887463,0.00025520667359745804,0.7757365311427153,1.4165725861034981,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,2DL1-S1,-0.011138029624006824,0.00025520667359745804,0.16537635581524104,0.6295727583769681,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,TRAIL,0.004583617706173444,0.00025520667359745804,-0.030467756734974396,0.30335366432928973,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,2DL2-L3-S2,-0.01306164035642314,0.00025520667359745804,0.13327263991262583,0.5846424584451942,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD16,0.08794020522690471,0.00025520667359745804,1.0203927685232026,1.5732555736121983,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD10,0.013087029221900925,0.00025520667359745804,0.214593997692477,0.6733201507053774,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,3DL1-S1,0.011679620155652168,0.00025520667359745804,0.006601096601281379,0.434480889894201,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,CD117,-0.004588979102854166,0.00025520667359745804,0.04664770097609893,0.4382369961353016,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,2DS4,0.06498791447596727,0.00025520667359745804,0.2831266344913984,0.8583644616654562,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,ILT2-CD85j,-0.023312733422628566,0.00025520667359745804,1.3288694439475166,1.366539982519437,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,NKp46,-0.06628541928283402,0.00025520667359745804,0.29949564355260255,0.8265037481162144,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,NKG2D,0.029321779538509264,0.00025520667359745804,0.6008934564572583,0.9682903436252615,5.0,0.01,0.01,0.9867070281361117,0,1
0,3003105692,gated_alive,full,NKG2C,0.07740483385590857,0.00025520667359745804,0.2131832909657,0.7267149308649075,5.0,0.01,0.01,0.9867070281361117,0,1
