cluster,sample_id,cell_count,variant
2,a_4a,57,ward_k14
2,a_4b,49,ward_k14
2,a_5a,68,ward_k14
2,a_5b,60,ward_k14
3,a_001,73,ward_k14
3,a_002,51,ward_k14
3,a_003,74,ward_k14
3,a_004,146,ward_k14
3,a_005,57,ward_k14
3,a_006,70,ward_k14
3,a_007,81,ward_k14
3,a_009,47,ward_k14
3,a_010,126,ward_k14
3,a_011,85,ward_k14
3,a_012,89,ward_k14
3,a_1a,33,ward_k14
3,a_2a,67,ward_k14
3,a_2b,120,ward_k14
3,a_3a,51,ward_k14
3,a_3b,59,ward_k14
3,a_4a,62,ward_k14
3,a_4b,53,ward_k14
3,a_5a,78,ward_k14
3,a_5b,100,ward_k14
4,a_001,12,ward_k14
4,a_002,4,ward_k14
4,a_003,10,ward_k14
4,a_004,11,ward_k14
4,a_005,5,ward_k14
4,a_006,3,ward_k14
4,a_007,11,ward_k14
4,a_009,8,ward_k14
4,a_010,3,ward_k14
4,a_011,22,ward_k14
4,a_012,6,ward_k14
4,a_1a,29,ward_k14
4,a_2a,11,ward_k14
4,a_2b,8,ward_k14
4,a_3a,19,ward_k14
4,a_3b,14,ward_k14
4,a_4a,12,ward_k14
4,a_4b,9,ward_k14
4,a_5a,12,ward_k14
4,a_5b,7,ward_k14
5,a_001,141,ward_k14
5,a_002,142,ward_k14
5,a_003,26,ward_k14
5,a_004,54,ward_k14
5,a_005,118,ward_k14
5,a_006,52,ward_k14
5,a_007,109,ward_k14
5,a_009,81,ward_k14
5,a_010,67,ward_k14
5,a_011,45,ward_k14
5,a_012,58,ward_k14
5,a_1a,83,ward_k14
5,a_2a,82,ward_k14
5,a_2b,92,ward_k14
5,a_3a,95,ward_k14
5,a_3b,98,ward_k14
5,a_4a,56,ward_k14
5,a_4b,49,ward_k14
5,a_5a,75,ward_k14
5,a_5b,83,ward_k14
6,a_001,10,ward_k14
6,a_002,8,ward_k14
6,a_003,25,ward_k14
6,a_004,11,ward_k14
6,a_005,2,ward_k14
6,a_006,5,ward_k14
6,a_007,12,ward_k14
6,a_009,23,ward_k14
6,a_010,17,ward_k14
6,a_011,13,ward_k14
6,a_012,13,ward_k14
6,a_1a,46,ward_k14
6,a_2a,29,ward_k14
6,a_2b,20,ward_k14
6,a_3a,25,ward_k14
6,a_3b,27,ward_k14
6,a_4a,48,ward_k14
6,a_4b,63,ward_k14
6,a_5a,21,ward_k14
6,a_5b,21,ward_k14
7,a_001,12,ward_k14
7,a_002,14,ward_k14
7,a_003,11,ward_k14
7,a_004,5,ward_k14
7,a_005,3,ward_k14
7,a_006,15,ward_k14
7,a_007,11,ward_k14
7,a_009,13,ward_k14
7,a_010,12,ward_k14
7,a_011,17,ward_k14
7,a_012,13,ward_k14
7,a_1a,4,ward_k14
7,a_2a,21,ward_k14
7,a_2b,9,ward_k14
7,a_3a,8,ward_k14
7,a_3b,16,ward_k14
7,a_4a,17,ward_k14
7,a_4b,12,ward_k14
7,a_5a,8,ward_k14
7,a_5b,11,ward_k14
8,a_001,33,ward_k14
8,a_002,40,ward_k14
8,a_003,33,ward_k14
8,a_004,23,ward_k14
8,a_005,70,ward_k14
8,a_006,73,ward_k14
8,a_007,43,ward_k14
8,a_009,76,ward_k14
8,a_010,40,ward_k14
8,a_011,22,ward_k14
8,a_012,39,ward_k14
8,a_1a,16,ward_k14
8,a_2a,20,ward_k14
8,a_2b,19,ward_k14
8,a_3a,36,ward_k14
8,a_3b,33,ward_k14
8,a_4a,50,ward_k14
8,a_4b,35,ward_k14
8,a_5a,58,ward_k14
8,a_5b,56,ward_k14
9,a_001,11,ward_k14
9,a_002,5,ward_k14
9,a_003,34,ward_k14
9,a_004,15,ward_k14
9,a_005,20,ward_k14
9,a_006,2,ward_k14
9,a_007,6,ward_k14
9,a_009,22,ward_k14
