split_id,C,inner_fold,validation_roc_auc,gate,run_mode,selected
12,1.0,2,1.0,gated_alive,full,False
13,0.01,0,0.6666666666666666,gated_alive,full,True
13,0.01,1,0.8333333333333334,gated_alive,full,True
13,0.01,2,1.0,gated_alive,full,True
13,0.1,0,0.6666666666666666,gated_alive,full,False
13,0.1,1,0.8333333333333334,gated_alive,full,False
13,0.1,2,1.0,gated_alive,full,False
13,1.0,0,0.6666666666666666,gated_alive,full,False
13,1.0,1,0.8333333333333334,gated_alive,full,False
13,1.0,2,1.0,gated_alive,full,False
14,0.01,0,0.3333333333333333,gated_alive,full,True
14,0.01,1,0.5,gated_alive,full,True
14,0.01,2,1.0,gated_alive,full,True
14,0.1,0,0.3333333333333333,gated_alive,full,False
14,0.1,1,0.5,gated_alive,full,False
14,0.1,2,1.0,gated_alive,full,False
14,1.0,0,0.3333333333333333,gated_alive,full,False
14,1.0,1,0.5,gated_alive,full,False
14,1.0,2,1.0,gated_alive,full,False
15,0.01,0,0.6666666666666666,gated_alive,full,True
15,0.01,1,0.6666666666666667,gated_alive,full,True
15,0.01,2,1.0,gated_alive,full,True
15,0.1,0,0.6666666666666666,gated_alive,full,False
15,0.1,1,0.6666666666666667,gated_alive,full,False
15,0.1,2,1.0,gated_alive,full,False
15,1.0,0,0.6666666666666666,gated_alive,full,False
15,1.0,1,0.6666666666666667,gated_alive,full,False
15,1.0,2,1.0,gated_alive,full,False
16,0.01,0,1.0,gated_alive,full,True
16,0.01,1,1.0,gated_alive,full,True
16,0.01,2,1.0,gated_alive,full,True
16,0.1,0,1.0,gated_alive,full,False
16,0.1,1,1.0,gated_alive,full,False
16,0.1,2,1.0,gated_alive,full,False
16,1.0,0,1.0,gated_alive,full,False
16,1.0,1,1.0,gated_alive,full,False
16,1.0,2,1.0,gated_alive,full,False
17,0.01,0,1.0,gated_alive,full,True
17,0.01,1,0.6666666666666667,gated_alive,full,True
17,0.01,2,0.75,gated_alive,full,True
17,0.1,0,1.0,gated_alive,full,False
17,0.1,1,0.6666666666666667,gated_alive,full,False
17,0.1,2,0.75,gated_alive,full,False
17,1.0,0,1.0,gated_alive,full,False
17,1.0,1,0.6666666666666667,gated_alive,full,False
17,1.0,2,0.75,gated_alive,full,False
18,0.01,0,0.5,gated_alive,full,True
18,0.01,1,0.6666666666666667,gated_alive,full,True
18,0.01,2,0.25,gated_alive,full,True
18,0.1,0,0.5,gated_alive,full,False
18,0.1,1,0.6666666666666667,gated_alive,full,False
18,0.1,2,0.25,gated_alive,full,False
18,1.0,0,0.5,gated_alive,full,False
18,1.0,1,0.6666666666666667,gated_alive,full,False
18,1.0,2,0.25,gated_alive,full,False
19,0.01,0,0.16666666666666666,gated_alive,full,True
19,0.01,1,1.0,gated_alive,full,True
19,0.01,2,0.75,gated_alive,full,True
19,0.1,0,0.16666666666666666,gated_alive,full,False
19,0.1,1,1.0,gated_alive,full,False
19,0.1,2,0.75,gated_alive,full,False
19,1.0,0,0.16666666666666666,gated_alive,full,False
19,1.0,1,1.0,gated_alive,full,False
19,1.0,2,0.75,gated_alive,full,False
20,0.01,0,0.6666666666666666,gated_alive,full,True
20,0.01,1,0.6666666666666667,gated_alive,full,True
20,0.01,2,1.0,gated_alive,full,True
20,0.1,0,0.6666666666666666,gated_alive,full,False
20,0.1,1,0.6666666666666667,gated_alive,full,False
20,0.1,2,1.0,gated_alive,full,False
20,1.0,0,0.6666666666666666,gated_alive,full,False
20,1.0,1,0.6666666666666667,gated_alive,full,False
20,1.0,2,1.0,gated_alive,full,False
21,0.01,0,1.0,gated_alive,full,True
21,0.01,1,0.6666666666666667,gated_alive,full,True
21,0.01,2,1.0,gated_alive,full,True
21,0.1,0,1.0,gated_alive,full,False
21,0.1,1,0.6666666666666667,gated_alive,full,False
21,0.1,2,1.0,gated_alive,full,False
21,1.0,0,1.0,gated_alive,full,False
21,1.0,1,0.6666666666666667,gated_alive,full,False
21,1.0,2,1.0,gated_alive,full,False
22,0.01,0,0.6666666666666666,gated_alive,full,True
22,0.01,1,0.0,gated_alive,full,True
22,0.01,2,1.0,gated_alive,full,True
22,0.1,0,0.6666666666666666,gated_alive,full,False
22,0.1,1,0.0,gated_alive,full,False
22,0.1,2,1.0,gated_alive,full,False
22,1.0,0,0.6666666666666666,gated_alive,full,False
22,1.0,1,0.0,gated_alive,full,False
22,1.0,2,1.0,gated_alive,full,False
23,0.01,0,1.0,gated_alive,full,True
23,0.01,1,0.16666666666666669,gated_alive,full,True
23,0.01,2,0.5,gated_alive,full,True
23,0.1,0,1.0,gated_alive,full,False
23,0.1,1,0.16666666666666669,gated_alive,full,False
23,0.1,2,0.5,gated_alive,full,False
23,1.0,0,1.0,gated_alive,full,False
23,1.0,1,0.16666666666666669,gated_alive,full,False
23,1.0,2,0.5,gated_alive,full,False
24,0.01,0,1.0,gated_alive,full,True
24,0.01,1,0.16666666666666669,gated_alive,full,True
24,0.01,2,0.5,gated_alive,full,True
24,0.1,0,1.0,gated_alive,full,False
24,0.1,1,0.16666666666666669,gated_alive,full,False
24,0.1,2,0.5,gated_alive,full,False
24,1.0,0,1.0,gated_alive,full,False
24,1.0,1,0.16666666666666669,gated_alive,full,False
24,1.0,2,0.5,gated_alive,full,False
25,0.01,0,1.0,gated_alive,full,True
25,0.01,1,0.5,gated_alive,full,True
25,0.01,2,1.0,gated_alive,full,True
25,0.1,0,1.0,gated_alive,full,False
25,0.1,1,0.5,gated_alive,full,False
25,0.1,2,1.0,gated_alive,full,False
25,1.0,0,1.0,gated_alive,full,False
25,1.0,1,0.5,gated_alive,full,False
25,1.0,2,1.0,gated_alive,full,False
26,0.01,0,1.0,gated_alive,full,True
26,0.01,1,0.5,gated_alive,full,True
26,0.01,2,0.75,gated_alive,full,True
26,0.1,0,1.0,gated_alive,full,False
26,0.1,1,0.5,gated_alive,full,False
26,0.1,2,0.75,gated_alive,full,False
26,1.0,0,1.0,gated_alive,full,False
26,1.0,1,0.5,gated_alive,full,False
26,1.0,2,0.75,gated_alive,full,False
27,0.01,0,0.16666666666666666,gated_alive,full,True
27,0.01,1,0.6666666666666667,gated_alive,full,True
27,0.01,2,0.25,gated_alive,full,True
27,0.1,0,0.16666666666666666,gated_alive,full,False
27,0.1,1,0.6666666666666667,gated_alive,full,False
27,0.1,2,0.25,gated_alive,full,False
27,1.0,0,0.16666666666666666,gated_alive,full,False
27,1.0,1,0.6666666666666667,gated_alive,full,False
27,1.0,2,0.25,gated_alive,full,False
28,0.01,0,1.0,gated_alive,full,True
28,0.01,1,0.5,gated_alive,full,True
28,0.01,2,0.5,gated_alive,full,True
28,0.1,0,1.0,gated_alive,full,False
28,0.1,1,0.5,gated_alive,full,False
28,0.1,2,0.5,gated_alive,full,False
28,1.0,0,1.0,gated_alive,full,False
28,1.0,1,0.5,gated_alive,full,False
28,1.0,2,0.5,gated_alive,full,False
29,0.01,0,0.5,gated_alive,full,True
29,0.01,1,1.0,gated_alive,full,True
29,0.01,2,1.0,gated_alive,full,True
29,0.1,0,0.5,gated_alive,full,False
29,0.1,1,1.0,gated_alive,full,False
29,0.1,2,1.0,gated_alive,full,False
29,1.0,0,0.5,gated_alive,full,False
29,1.0,1,1.0,gated_alive,full,False
29,1.0,2,1.0,gated_alive,full,False
30,0.01,0,0.3333333333333333,gated_alive,full,True
30,0.01,1,0.5,gated_alive,full,True
30,0.01,2,0.5,gated_alive,full,True
30,0.1,0,0.3333333333333333,gated_alive,full,False
30,0.1,1,0.5,gated_alive,full,False
30,0.1,2,0.5,gated_alive,full,False
30,1.0,0,0.3333333333333333,gated_alive,full,False
30,1.0,1,0.5,gated_alive,full,False
30,1.0,2,0.5,gated_alive,full,False
31,0.01,0,1.0,gated_alive,full,True
31,0.01,1,0.8333333333333334,gated_alive,full,True
31,0.01,2,1.0,gated_alive,full,True
31,0.1,0,1.0,gated_alive,full,False
31,0.1,1,0.8333333333333334,gated_alive,full,False
31,0.1,2,1.0,gated_alive,full,False
31,1.0,0,1.0,gated_alive,full,False
