method,split_id,subset_id,coefficient,response_threshold,selected_cells,reference_cells,candidate_seed,training_donors,CD3,CD27,CD19,CD4,CD8,CD57,2DL1-S1,TRAIL,2DL2-L3-S2,CD16,CD10,3DL1-S1,CD117,2DS4,ILT2-CD85j,NKp46,NKG2D,NKG2C,2B4,CD33,CD11b,NKp30,CD122,3DL1,NKp44,CD127,2DL1,CD94,CD34,CCR7,2DL3,NKG2A,HLA-DR,2DL4,CD56,2DL5,CD25,group_id,map_cell_id,component_1,component_2
CellCNN,14,3,-0.7311265468597412,8.474926948547363,780.0,180000.0,915442770.0,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b,1.2325897039238136,0.3684082209355741,0.26721133257028085,0.48228974560759247,2.592673008840304,1.8560694740118029,0.9779725784268708,0.08251354946069814,0.8843517259194273,4.390212189062283,1.1521534877827482,2.3687963215330354,0.23824815204731212,0.7929286689077111,0.6790289221594904,2.166309685852283,1.5153226918911036,0.27667972062171875,1.7741099217166312,1.734955123134811,0.5189931029840059,2.1822529196249656,2.2717961098312234,3.6447609638377356,0.9270122828051591,0.39942053205397826,2.1598512683923428,1.9460365592119977,0.32725262516163267,0.34730281641470634,0.7118969034841053,1.1970362973032305,1.8818640148336552,0.3882853990141974,3.5918819778670485,0.38717680165479973,0.19513424688648695,2,gated_alive:a_003:15124,70.17417907714844,-20.947250366210938
CellCNN,14,4,0.49614840745925903,3.5731570720672607,999.0,180000.0,915442770.0,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b,2.761434905486575,0.7982538639916601,0.6612451260828186,0.7026088844045639,2.7153970107199736,3.694409590952953,1.2416114191186975,0.09883126360190189,1.2365632622494704,2.786182724597882,0.6756212797362121,0.23317355566466466,0.1485673837130569,1.8290599119387805,1.4182280936798193,0.9429938971180992,1.8189594743847222,3.7451694966242597,2.2567546768272453,1.6943993862670332,0.7209470471213651,1.518499929919136,1.1028839535246306,0.5844472507889151,0.29185127136582006,0.7010967668468222,0.5866343379278399,3.5406847973769016,0.8475675650344284,0.274133541924775,1.7316442990807657,1.1295601062073082,2.566900225044848,1.0035168473878913,3.5271496043733515,0.5363771571405791,0.14499413732146085,1,gated_alive:a_002:26483,51.76649856567383,-34.071170806884766
CellCNN,15,0,-1.460798740386963,12.002785682678223,1213.0,180000.0,802017519.0,a_001;a_004;a_006;a_007;a_010;a_2b;a_3b;a_4a;a_5a,1.5476441147641185,0.44111761103114705,0.34029945074406176,0.504311463240962,1.9419813071890561,1.342009588524317,1.3721696334897355,0.23476199094005126,0.9273315053494122,3.767049996807923,1.0227624054373663,0.7341704354451207,0.42169375098618483,1.1106302834788502,0.8139699564430258,1.995974965002117,1.275331263617756,0.3367647501055162,2.182942779682713,1.6280443833294702,0.6625770922208083,1.9214374805268541,1.9225016152367198,1.3013395622304589,0.4350968629626551,0.8407646467637997,2.904944454930644,1.350135698159412,0.5842739602721264,0.18126213793009974,0.8152305351192972,0.5992058755213772,1.935272207092655,0.5377046475999356,3.352662108945664,0.8872968450945072,0.24858480850850775,3,gated_alive:a_003:74972,41.51313400268555,-26.00633430480957
CellCNN,15,1,0.8065329194068909,9.214829444885254,1506.0,180000.0,802017519.0,a_001;a_004;a_006;a_007;a_010;a_2b;a_3b;a_4a;a_5a,2.8782573340760855,1.0504143020376675,0.9536305040460701,1.1618645268432377,3.268776876017529,3.835065647475341,1.3985200595278553,0.15056893190026135,1.2587781231558188,3.7268664816269297,1.0192453470471026,0.10078702542332309,0.4075306355065765,1.022317030432386,1.5916487976266622,1.0537420697023052,1.6786872189513091,2.6454680856242456,2.188168735226219,2.1745468224135487,0.9665865972171233,1.7154000779000045,1.303173323101784,0.3228181405752807,0.16947494786194292,0.8535595711978161,0.4547769251285775,3.808927751838874,1.056553586042054,0.662512892744721,1.5719068416976834,2.5436829020952403,3.352623562709766,1.1985921504438692,3.586677451613687,0.47352455244401925,0.15448410266763335,1,gated_alive:a_001:36295,50.08754348754883,-32.313472747802734
CellCNN,15,2,1.0258419513702393,9.92810344696045,1417.0,180000.0,802017519.0,a_001;a_004;a_006;a_007;a_010;a_2b;a_3b;a_4a;a_5a,3.732281073582084,1.1068104088448394,0.8670422577310843,1.1217213915611068,3.273641645428892,3.4262525332219447,1.0769446987029874,0.05357357507915237,1.1220873568949965,3.347189271612971,0.856372782167886,2.128287255949023,0.34483771442764966,1.5400066173246745,1.4655304059685241,1.055269910320638,1.693130448244919,1.6519706642774044,2.174954875745011,2.201761565655575,0.9493072599624616,1.6107009152938325,1.6432358553045183,3.5627276440469475,1.3403844228349753,0.8811330979375872,0.4000598558800509,2.908001022746927,0.7897800144965963,0.5842462767909814,0.9864809602756562,1.8691809095861949,3.2716398418755466,1.0958621832191187,2.989777120096437,0.3224745642806005,0.12453735806823266,1,gated_alive:a_003:15124,70.17417907714844,-20.947250366210938
CellCNN,16,0,0.33477234840393066,3.639556407928467,2455.0,180000.0,984129568.0,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b,2.40480989899051,0.1232186037176035,0.07280190029657989,0.38083316169133336,0.6543395119864164,0.12744423006846173,-0.05736710199572444,-0.08790422747227401,-0.07534412149455026,0.23373357261045122,0.140002248111201,-0.07069841639069688,0.0775105763770592,-0.03271433790276302,0.3795286490732902,-0.04842312437543831,0.007008502425635641,-0.05837616660933486,0.4282097665074079,1.2745674874303865,0.02701084556438829,0.02619733978653836,-0.03981498404230084,-0.07976457112843217,-0.09452672139826243,0.07611950149100012,-0.04902591800130809,0.049061008891761265,1.3097866399240998,0.15201004350293204,-0.018001737707183562,0.13268754052194695,2.6472447575575693,0.4209101242515094,0.13729244585997447,-0.029986763152047517,-0.040986924937744494,7,gated_alive:a_002:49253,-5.514472007751465,15.956648826599121
CellCNN,16,1,-0.2505725920200348,6.026672840118408,174.0,180000.0,984129568.0,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b,3.735108379890136,1.556093467937397,1.0950690834192913,1.8135247556144778,1.9411723564202288,0.7669519533593229,1.1309163701996854,0.9776786019388003,1.1337848381064404,1.8564673477205738,1.474926156362508,2.9427251988358196,2.593810711120223,2.508752711770264,2.8836428526382165,2.2546298538024225,1.8299942882370268,1.3976104220712622,2.631589648233534,4.277865237409206,1.2261925429191398,1.0373462326386436,1.1061999729871963,2.6801597085385316,3.4432144659603465,3.2316149074541425,2.8566959595599415,2.628056877672715,2.5306988367569985,2.4429849167622026,1.89025177798721,2.012109517408856,4.872955870268674,1.769995271324932,1.4956863488702254,0.9241817068742139,0.3981552574423613,2,gated_alive:a_012:90942,74.68387603759766,-13.796236991882324
CellCNN,16,2,-0.660555362701416,6.008918762207031,667.0,180000.0,984129568.0,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b,2.762379654748449,1.0257527691397132,0.4799935726563738,0.9824002767302866,2.908142338984407,1.839615435196042,1.6925014858232703,0.22290365589072933,1.4396976327223039,3.7738331484812906,0.8821342179226408,1.3963760461366024,0.375352411276897,0.2998327532615771,1.2008030437341193,2.3573789764981092,1.9000369832582906,0.1945131605781993,2.501002613171611,2.629960119863379,0.752079401980907,2.247308087593759,2.476678441789677,2.236518660732866,0.9963474034550258,1.2063450101466562,2.1032978096052535,1.7916961991876739,0.5327336644365297,0.9628970269301841,1.3616287344187006,1.149040857642078,2.5677191570332774,0.6352386441072119,3.6157367008401713,0.956959646208787,0.33442559202749356,3,gated_alive:a_012:9223,42.3596305847168,-28.546354293823242
CellCNN,16,3,-1.1544947624206543,4.96751594543457,582.0,180000.0,984129568.0,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b,2.2159547389923397,0.8323170190040563,0.2938151971252613,0.7619611127257044,2.801849621408891,2.3585896280550562,2.095978774463588,0.10091595529494415,1.4590427927103589,4.2023979109880765,0.9426098259170659,-0.032368620548280685,0.09806794131765662,0.09327865275134303,0.9127982767368127,2.418303235574814,1.7509431839573335,0.20035705861547096,2.447077154610054,2.6634283213929395,0.836980078354277,2.3947641033074367,2.5868756373403308,0.4063560573220744,0.22596952076933324,0.892847318854343,2.844813555739084,1.6873817027472855,0.4132623348008646,0.568578678255317,1.5035659384160043,0.8242888967354568,2.2104270868187395,0.5105553548063719,3.7732003626141206,0.8695089202734267,0.36342626819495094,3,gated_alive:a_3a:155089,42.668861389160156,-27.989412307739258
CellCNN,16,4,0.9893779754638672,6.910950660705566,1666.0,180000.0,984129568.0,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b,3.5056500699083766,1.1643748423502744,1.1027919381664906,0.855586967587656,3.307333067641873,3.9668296199545736,1.4013430008149452,0.15081092739220744,1.0607908042238596,3.413880191624338,1.0639992596838797,0.49145741275705623,0.3249760137155654,2.4237796780305483,1.8058096232292542,1.317544759180322,1.8568920129713058,3.2675631297069563,2.6421912510483554,2.3747963843206357,1.0335438945322992,1.818520501460869,1.431335352351629,0.9720765722180361,0.30888189412024025,0.9488738178719961,0.5584945619774878,3.7767195917267937,1.151716806271923,0.36877981872433174,1.2742840708017495,2.112891900715543,3.4157075577556397,1.291964510862832,3.7263543909546413,0.6818372953852433,0.22406778774840327,1,gated_alive:a_012:41650,28.498714447021484,21.990890502929688
