split_id,filter_id,training_maximum,response_threshold,contrast,training_donors
0,0,7.778501510620117,3.8892507553100586,-0.7870976328849792,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
0,1,9.852762222290039,4.9263811111450195,0.7081660628318787,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
0,2,6.871201992034912,3.435600996017456,-0.8355383276939392,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
0,3,11.494178771972656,5.747089385986328,0.9787687063217163,a_001;a_003;a_011;a_012;a_2b;a_3b;a_4b;a_5a;a_5b
1,0,16.817548751831055,8.408774375915527,1.4091005325317383,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,1,38.87118148803711,19.435590744018555,-1.2407121658325195,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,2,14.833818435668945,7.416909217834473,0.7404954433441162,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,3,18.197139739990234,9.098569869995117,1.394927978515625,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
1,4,32.19172286987305,16.095861434936523,-1.0420498847961426,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b
2,0,6.882965087890625,3.4414825439453125,-0.5008331537246704,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,1,29.782867431640625,14.891433715820312,-1.5485179424285889,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
2,2,20.834671020507812,10.417335510253906,1.5919640064239502,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b
3,0,16.46872329711914,8.23436164855957,1.0719891786575317,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a
3,1,8.609066009521484,4.304533004760742,-0.6875157952308655,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a
3,2,15.251506805419922,7.625753402709961,-0.7279831171035767,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a
4,0,36.01112747192383,18.005563735961914,-1.4538708925247192,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,1,13.90762710571289,6.953813552856445,-1.6893115043640137,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,2,12.637821197509766,6.318910598754883,1.5198402404785156,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,3,11.68332290649414,5.84166145324707,1.377243995666504,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
4,4,14.259880065917969,7.129940032958984,1.2530425786972046,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a
5,0,5.5327935218811035,2.7663967609405518,0.6842905879020691,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,1,13.850890159606934,6.925445079803467,1.058971643447876,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
5,2,15.678811073303223,7.839405536651611,-0.7661307454109192,a_001;a_002;a_004;a_006;a_007;a_010;a_1a;a_3a;a_4a
6,0,11.31252670288086,5.65626335144043,-1.219934344291687,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,1,12.50973129272461,6.254865646362305,-1.1128380298614502,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,2,18.335432052612305,9.167716026306152,1.5652592182159424,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,3,18.497478485107422,9.248739242553711,1.7333722114562988,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
6,4,13.841389656066895,6.920694828033447,-1.3696353435516357,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b
7,0,19.5363826751709,9.76819133758545,0.9900535345077515,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
7,1,24.75054359436035,12.375271797180176,-0.9280884861946106,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
7,2,14.328327178955078,7.164163589477539,-1.463072657585144,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
7,3,12.070615768432617,6.035307884216309,0.3497503697872162,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
7,4,11.857958793640137,5.928979396820068,0.9116219878196716,a_001;a_003;a_005;a_006;a_2b;a_3a;a_3b;a_4b;a_5b
8,0,10.730875015258789,5.3654375076293945,-0.9115395545959473,a_002;a_004;a_005;a_007;a_011;a_012;a_1a;a_3b;a_4b
8,1,2.4617199897766113,1.2308599948883057,0.09071186184883118,a_002;a_004;a_005;a_007;a_011;a_012;a_1a;a_3b;a_4b
8,2,10.793673515319824,5.396836757659912,-0.7839014530181885,a_002;a_004;a_005;a_007;a_011;a_012;a_1a;a_3b;a_4b
8,3,16.18828773498535,8.094143867492676,1.0116031169891357,a_002;a_004;a_005;a_007;a_011;a_012;a_1a;a_3b;a_4b
9,0,15.258304595947266,7.629152297973633,-0.736107587814331,a_001;a_004;a_005;a_006;a_009;a_012;a_1a;a_2a;a_4a;a_5a
9,1,22.16352653503418,11.08176326751709,-0.7209049463272095,a_001;a_004;a_005;a_006;a_009;a_012;a_1a;a_2a;a_4a;a_5a
9,2,14.122594833374023,7.061297416687012,1.658632516860962,a_001;a_004;a_005;a_006;a_009;a_012;a_1a;a_2a;a_4a;a_5a
10,0,6.363935947418213,3.1819679737091064,0.32002490758895874,a_004;a_006;a_012;a_1a;a_3a;a_3b;a_4a;a_5a;a_5b
10,1,5.780981540679932,2.890490770339966,0.10163873434066772,a_004;a_006;a_012;a_1a;a_3a;a_3b;a_4a;a_5a;a_5b
10,2,12.77531623840332,6.38765811920166,-0.44383955001831055,a_004;a_006;a_012;a_1a;a_3a;a_3b;a_4a;a_5a;a_5b
10,3,9.929905891418457,4.9649529457092285,-0.2959657907485962,a_004;a_006;a_012;a_1a;a_3a;a_3b;a_4a;a_5a;a_5b
10,4,8.941831588745117,4.470915794372559,0.4464738070964813,a_004;a_006;a_012;a_1a;a_3a;a_3b;a_4a;a_5a;a_5b
11,0,17.843687057495117,8.921843528747559,0.9597561359405518,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,1,21.908981323242188,10.954490661621094,-0.5498948097229004,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,2,10.707074165344238,5.353537082672119,0.7976464033126831,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,3,11.242329597473145,5.621164798736572,-1.0761635303497314,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
11,4,8.901838302612305,4.450919151306152,-0.5187228322029114,a_001;a_004;a_005;a_009;a_2a;a_3a;a_3b;a_4b;a_5a;a_5b
12,0,6.9065375328063965,3.4532687664031982,-1.0943931341171265,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
12,1,11.23049545288086,5.61524772644043,-0.9606925845146179,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
12,2,14.59403133392334,7.29701566696167,-0.9111066460609436,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
12,3,10.751570701599121,5.3757853507995605,-0.697555661201477,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
12,4,35.358890533447266,17.679445266723633,1.6883163452148438,a_002;a_007;a_009;a_010;a_011;a_012;a_2a;a_3b;a_4b;a_5a
13,0,16.792526245117188,8.396263122558594,-1.6310734748840332,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
