cell_id,sample_id,event_index,variant,component_1,component_2
gated_alive:a_001:436,a_001,436,pca,-1.4489914785647473,-0.04720748751722209
gated_alive:a_001:535,a_001,535,pca,-1.1321054521736724,1.4811378157012236
gated_alive:a_001:603,a_001,603,pca,1.1006526796940062,4.264573229587147
gated_alive:a_001:814,a_001,814,pca,-2.9433072466273242,-1.5772736035663533
gated_alive:a_001:1146,a_001,1146,pca,0.04566419377296008,3.8885525644208947
gated_alive:a_001:1468,a_001,1468,pca,-1.050884716426131,1.9926871829724917
gated_alive:a_001:1477,a_001,1477,pca,-2.2790311860717964,0.3453699568786125
gated_alive:a_001:1602,a_001,1602,pca,-0.3094182633493168,1.380814279889113
gated_alive:a_001:1774,a_001,1774,pca,-2.6525435511175686,1.359465540533024
gated_alive:a_001:1817,a_001,1817,pca,0.38487517548042643,-2.5993791458121716
gated_alive:a_001:1862,a_001,1862,pca,-3.146985268473341,-1.1486619616682296
gated_alive:a_001:1872,a_001,1872,pca,-1.7589071832518406,-1.7747366359743324
gated_alive:a_001:2045,a_001,2045,pca,-2.507119279171142,-1.4713892407922216
gated_alive:a_001:2064,a_001,2064,pca,-1.8342294970046555,-1.2027045828786147
gated_alive:a_001:2525,a_001,2525,pca,2.3323884988127555,1.69991208319488
gated_alive:a_001:2623,a_001,2623,pca,-2.000103876214637,1.4509172168260414
gated_alive:a_001:2843,a_001,2843,pca,-2.785868493729904,-1.3583898247187547
gated_alive:a_001:3053,a_001,3053,pca,-1.1618351517617023,-2.591830069712228
gated_alive:a_001:3073,a_001,3073,pca,-1.8034857996813305,1.4531695308751196
gated_alive:a_001:3415,a_001,3415,pca,-0.99727773791605,-1.312179993763523
gated_alive:a_001:3586,a_001,3586,pca,2.448600867740061,-1.3190186588909998
gated_alive:a_001:3682,a_001,3682,pca,5.235652390782868,0.5972622065572155
gated_alive:a_001:3690,a_001,3690,pca,2.271051443881881,2.153050916722832
gated_alive:a_001:4779,a_001,4779,pca,-3.113404286557085,-1.344840883401218
gated_alive:a_001:5224,a_001,5224,pca,-0.9132960445300264,-1.6043950483070506
gated_alive:a_001:5333,a_001,5333,pca,-0.21020819883795236,3.5041417223088205
gated_alive:a_001:5560,a_001,5560,pca,5.316312341466527,0.024571913931464816
gated_alive:a_001:6251,a_001,6251,pca,-1.0336531094775137,1.8947863178480226
gated_alive:a_001:6490,a_001,6490,pca,0.7614183651760708,3.680999062920361
gated_alive:a_001:6502,a_001,6502,pca,-1.8474144618097597,-1.9943103234307011
gated_alive:a_001:6652,a_001,6652,pca,-2.6632552878532687,-1.1663862179972386
gated_alive:a_001:6792,a_001,6792,pca,1.220310857375771,1.8583950692714286
gated_alive:a_001:6930,a_001,6930,pca,-0.7659442105991731,2.476068008051571
gated_alive:a_001:6941,a_001,6941,pca,0.32269074050938584,-2.6278482023443774
gated_alive:a_001:7033,a_001,7033,pca,-1.289319189076324,-1.109623006967134
gated_alive:a_001:7189,a_001,7189,pca,-0.9426798806556942,1.5629650662629189
gated_alive:a_001:7302,a_001,7302,pca,0.8561443401823619,-2.1800217093118976
gated_alive:a_001:7383,a_001,7383,pca,1.1701473782759826,-1.8756492693633917
gated_alive:a_001:7422,a_001,7422,pca,-2.0323683456870887,-2.3535918835885212
gated_alive:a_001:7472,a_001,7472,pca,-2.288369554461869,-1.127708129824746
gated_alive:a_001:7541,a_001,7541,pca,2.3944692682968327,-1.5041236913333196
gated_alive:a_001:7706,a_001,7706,pca,2.2729675328239876,-1.5223552573529338
gated_alive:a_001:7765,a_001,7765,pca,-1.8774133059247187,-1.8097482367552395
gated_alive:a_001:7771,a_001,7771,pca,-2.2454102989948916,-1.856998378628946
gated_alive:a_001:7908,a_001,7908,pca,-2.1129638338065333,-2.1605975236551713
gated_alive:a_001:7963,a_001,7963,pca,-0.20105977019681684,-2.115075024150568
gated_alive:a_001:8487,a_001,8487,pca,2.2260078617983052,2.460661497745156
gated_alive:a_001:8703,a_001,8703,pca,-2.37168869523744,-1.4703032119619937
gated_alive:a_001:8713,a_001,8713,pca,-2.7503372504745762,-1.2941863850099793
gated_alive:a_001:8850,a_001,8850,pca,-1.2469776550248863,1.608572681188717
gated_alive:a_001:8917,a_001,8917,pca,1.2045821669669463,-1.348127437535057
gated_alive:a_001:8982,a_001,8982,pca,-2.1931773691447876,-2.29080227222361
gated_alive:a_001:9385,a_001,9385,pca,-2.305294046905723,-1.3991165918381645
gated_alive:a_001:9532,a_001,9532,pca,-0.8529072007130474,-1.7313530902375789
gated_alive:a_001:9679,a_001,9679,pca,0.2682261305978753,-0.6455402375069849
gated_alive:a_001:9763,a_001,9763,pca,-1.6517245504740221,1.7041054158113174
gated_alive:a_001:9787,a_001,9787,pca,-2.0126632491218794,-1.5531646790693798
gated_alive:a_001:10019,a_001,10019,pca,-2.7527303970051316,-1.5435096864644726
gated_alive:a_001:10091,a_001,10091,pca,5.149230582824864,-2.1548193125146025
gated_alive:a_001:10179,a_001,10179,pca,-1.4467927125212625,1.92482632845612
gated_alive:a_001:10352,a_001,10352,pca,-0.4136438842713755,0.09646640211510855
