method,direction,CD3,CD56,NKG2C,CD57
SVM,positive,4.326222008270259,2.516028101413803,2.599124831662185,3.6724220234224063
CellCNN,positive,4.037212428441188,2.7559569354158238,0.8116716564454497,1.609247926430149
Citrus,positive,4.302486090598539,0.030402604644383865,-0.0553384193097388,1.0927857254747346
Kartenreferenz,all,3.9343921506886472,0.20416558823764208,-0.06334004815677671,-0.028953828807472673
