split_id,split_seed,gate,run_mode,marker,weight,intercept,scaler_mean,scaler_scale,cofactor,top_fraction,best_C,decision_threshold,negative_class,positive_class
0,3003105692,gated_NK,smoke,CD3,0.05303218935880702,0.004939164151316761,1.2220821293665847,1.1956512715404173,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD27,0.028709149128427994,0.004939164151316761,0.4183195523017311,0.8075036263328832,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD19,0.03653594609392531,0.004939164151316761,-0.0018089384144844708,0.25652079916144244,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD4,0.03948481985339906,0.004939164151316761,0.33520438009719333,0.7565134583694696,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD8,-0.0018576617941181233,0.004939164151316761,1.8398453762785545,1.4717776318498652,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD57,0.051963346517956616,0.004939164151316761,1.3456232055371604,1.734231271810732,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,2DL1-S1,-0.05377030502332097,0.004939164151316761,0.34655444950863296,0.8194527642824524,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,TRAIL,0.008720618075236044,0.004939164151316761,0.02099062982902238,0.40480292290945113,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,2DL2-L3-S2,0.011493703031115826,0.004939164151316761,0.4675823762669267,0.868788803158053,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD16,0.10236813175464622,0.004939164151316761,2.9190472531661045,1.83848973711141,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD10,0.002193379656482362,0.004939164151316761,0.5615252438979685,0.8705147965177831,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,3DL1-S1,0.018622460620950992,0.004939164151316761,0.1521296541998519,0.6805218329442311,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD117,0.02154325342196132,0.004939164151316761,0.14929797773490242,0.5559327726607498,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,2DS4,0.16424697449876122,0.004939164151316761,0.4462217937172025,1.1524189557257256,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,ILT2-CD85j,-0.004114239674382248,0.004939164151316761,0.7000707588614139,1.014387514275324,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,NKp46,-0.09243422474654107,0.004939164151316761,1.3122869782821378,1.3334242121629893,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,NKG2D,0.006969905347673245,0.004939164151316761,1.096065303853337,1.0527586214064368,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,NKG2C,0.2136591737835179,0.004939164151316761,0.5032044732461566,1.1674972424688066,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,2B4,-0.05373471711815915,0.004939164151316761,1.4923867457897997,1.1122497622960652,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD33,-0.029606859024567205,0.004939164151316761,1.4010856569957404,1.1452822039285737,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD11b,-0.02080719781211378,0.004939164151316761,0.40151774134397733,0.7765176055480614,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,NKp30,-0.021821084953953455,0.004939164151316761,1.2633869437449474,1.1920631781200086,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD122,-0.08979620436117222,0.004939164151316761,1.4331253571839433,1.1814037208802326,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,3DL1,-0.005872469959529921,0.004939164151316761,0.4912870807532593,1.1500056902367963,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,NKp44,0.025960359167834082,0.004939164151316761,0.0981823125620455,0.5352100331466332,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD127,0.012046065140739085,0.004939164151316761,0.4855051014311665,0.9088696184029974,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,2DL1,-0.10506893251195767,0.004939164151316761,0.3713338671582905,0.932106750176967,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD94,0.16831808518909278,0.004939164151316761,2.121751394400283,1.651602507376098,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD34,0.00627728020725713,0.004939164151316761,0.4210618899352817,0.7902213680433704,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CCR7,0.018257730075056922,0.004939164151316761,0.0774799863693745,0.4646843079341285,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,2DL3,-0.03162095334055253,0.004939164151316761,0.46734417475639944,1.0497051750452167,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,NKG2A,-0.05688070167668195,0.004939164151316761,1.5885912613640658,1.6703188815057692,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,HLA-DR,0.027804782423913453,0.004939164151316761,1.7046211521632988,1.3190719426017519,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,2DL4,0.020888888046072984,0.004939164151316761,0.3596897196037533,0.7271763067187247,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD56,-0.06325192918712322,0.004939164151316761,2.8163046152158904,1.459015370762226,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,2DL5,-4.8206243348484164e-05,0.004939164151316761,0.31296435650921395,0.6765929480291148,5.0,0.01,0.01,0.9950849858186774,0,1
0,3003105692,gated_NK,smoke,CD25,0.018900089037514643,0.004939164151316761,0.07303319117295733,0.43998606821643704,5.0,0.01,0.01,0.9950849858186774,0,1
1,976400780,gated_NK,smoke,CD3,0.06045720221675762,0.0027762265611033857,1.269123750748508,1.198523171003195,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,CD27,0.0027481796934032726,0.0027762265611033857,0.4874228075488888,0.8600298008839092,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,CD19,0.04241865318182343,0.0027762265611033857,0.00474542196791104,0.2678220341421957,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,CD4,0.013558401201901263,0.0027762265611033857,0.39184216075411127,0.8079429628670387,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,CD8,-0.0018665584252887477,0.0027762265611033857,1.815152647994136,1.4424723045159802,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,CD57,0.055333219561574616,0.0027762265611033857,1.3766491571523602,1.7864046937508822,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,2DL1-S1,-0.04630035734018963,0.0027762265611033857,0.35779954235782313,0.8333564599931848,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,TRAIL,0.005452675182729229,0.0027762265611033857,0.027960789776740505,0.42289618076391533,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,2DL2-L3-S2,-0.01726078068946885,0.0027762265611033857,0.48740282815364405,0.9003577770969079,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,CD16,0.17645928328119811,0.0027762265611033857,3.0050673201732825,1.9026313330288025,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,CD10,0.012751072534461807,0.0027762265611033857,0.6126819983122789,0.9103450216631093,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,3DL1-S1,-0.0003647181320830817,0.0027762265611033857,0.17335659790375202,0.7219673059122036,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,CD117,-0.004319257407323569,0.0027762265611033857,0.18383542003256007,0.6080776924599935,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,2DS4,0.19086260576640077,0.0027762265611033857,0.5543409177658911,1.2622231068172025,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,ILT2-CD85j,-0.01933220621785526,0.0027762265611033857,0.7188695577262016,1.0362377922449355,5.0,0.01,0.01,1.4068074659030423,0,1
1,976400780,gated_NK,smoke,NKp46,-0.11859804955790217,0.0027762265611033857,1.3765396344701535,1.378740082347177,5.0,0.01,0.01,1.4068074659030423,0,1
