method_label,split_id,roc_auc,average_precision,pr_auc,balanced_accuracy
Lineare Single-Cell-SVM,8,0.75,0.75,0.7083333333333333,0.5
Lineare Single-Cell-SVM,9,0.625,0.5,0.3333333333333333,0.5
Lineare Single-Cell-SVM,10,0.875,0.8333333333333333,0.7916666666666666,0.5
Lineare Single-Cell-SVM,11,0.75,0.75,0.7083333333333333,0.75
Lineare Single-Cell-SVM,12,0.75,0.75,0.7083333333333333,0.75
Lineare Single-Cell-SVM,13,0.875,0.8333333333333333,0.7916666666666666,0.75
Lineare Single-Cell-SVM,14,1.0,1.0,1.0,0.5
Lineare Single-Cell-SVM,15,0.75,0.5833333333333333,0.41666666666666663,0.625
Lineare Single-Cell-SVM,16,0.5,0.6666666666666666,0.6333333333333333,0.375
Lineare Single-Cell-SVM,17,0.875,0.8333333333333333,0.7916666666666666,0.75
Lineare Single-Cell-SVM,18,1.0,1.0,1.0,0.5
Lineare Single-Cell-SVM,19,0.875,0.8333333333333333,0.7916666666666666,0.625
Lineare Single-Cell-SVM,20,0.75,0.5833333333333333,0.41666666666666663,0.375
Lineare Single-Cell-SVM,21,0.625,0.7,0.6625,0.375
Lineare Single-Cell-SVM,22,1.0,1.0,1.0,0.75
Lineare Single-Cell-SVM,23,0.875,0.8333333333333333,0.7916666666666666,0.625
Lineare Single-Cell-SVM,24,1.0,1.0,1.0,0.875
Lineare Single-Cell-SVM,25,0.75,0.75,0.7083333333333333,0.5
Lineare Single-Cell-SVM,26,0.875,0.8333333333333333,0.7916666666666666,0.875
Lineare Single-Cell-SVM,27,0.75,0.75,0.7083333333333333,0.5
Lineare Single-Cell-SVM,28,0.875,0.8333333333333333,0.7916666666666666,0.875
Lineare Single-Cell-SVM,29,0.875,0.8333333333333333,0.7916666666666666,0.5
Lineare Single-Cell-SVM,30,0.75,0.75,0.7083333333333333,0.5
Lineare Single-Cell-SVM,31,0.625,0.5,0.3333333333333333,0.375
Lineare Single-Cell-SVM,32,0.875,0.8333333333333333,0.7916666666666666,0.625
Lineare Single-Cell-SVM,33,1.0,1.0,1.0,0.5
Lineare Single-Cell-SVM,34,1.0,1.0,1.0,0.5
Lineare Single-Cell-SVM,35,0.875,0.8333333333333333,0.7916666666666666,0.75
Lineare Single-Cell-SVM,36,0.75,0.75,0.7083333333333333,0.625
Lineare Single-Cell-SVM,37,0.875,0.8333333333333333,0.7916666666666666,0.625
Lineare Single-Cell-SVM,38,1.0,1.0,1.0,0.875
Lineare Single-Cell-SVM,39,0.875,0.8333333333333333,0.7916666666666666,0.75
Lineare Single-Cell-SVM,40,0.5,0.6666666666666666,0.6333333333333333,0.5
Lineare Single-Cell-SVM,41,0.75,0.75,0.7083333333333333,0.75
Lineare Single-Cell-SVM,42,0.5,0.6666666666666666,0.6333333333333333,0.5
Lineare Single-Cell-SVM,43,1.0,1.0,1.0,0.75
Lineare Single-Cell-SVM,44,1.0,1.0,1.0,1.0
Lineare Single-Cell-SVM,45,0.875,0.8333333333333333,0.7916666666666666,0.875
Lineare Single-Cell-SVM,46,0.625,0.5,0.3333333333333333,0.5
Lineare Single-Cell-SVM,47,0.875,0.8333333333333333,0.7916666666666666,0.75
Lineare Single-Cell-SVM,48,0.75,0.75,0.7083333333333333,0.5
Lineare Single-Cell-SVM,49,0.625,0.7,0.6625,0.625
Lineare Single-Cell-SVM,50,0.75,0.75,0.7083333333333333,0.5
Lineare Single-Cell-SVM,51,1.0,1.0,1.0,0.75
Lineare Single-Cell-SVM,52,0.875,0.8333333333333333,0.7916666666666666,0.75
Lineare Single-Cell-SVM,53,0.875,0.8333333333333333,0.7916666666666666,0.5
Lineare Single-Cell-SVM,54,0.5,0.45,0.2875,0.625
Lineare Single-Cell-SVM,55,1.0,1.0,1.0,0.75
Lineare Single-Cell-SVM,56,0.75,0.75,0.7083333333333333,0.5
Lineare Single-Cell-SVM,57,0.5,0.6666666666666666,0.6333333333333333,0.5
Lineare Single-Cell-SVM,58,0.875,0.8333333333333333,0.7916666666666666,0.5
Lineare Single-Cell-SVM,59,1.0,1.0,1.0,0.5
Lineare Single-Cell-SVM,60,1.0,1.0,1.0,0.75
Lineare Single-Cell-SVM,61,0.625,0.7,0.6625,0.75
Lineare Single-Cell-SVM,62,1.0,1.0,1.0,0.75
Lineare Single-Cell-SVM,63,0.875,0.8333333333333333,0.7916666666666666,0.5
Lineare Single-Cell-SVM,64,0.875,0.8333333333333333,0.7916666666666666,0.75
Lineare Single-Cell-SVM,65,1.0,1.0,1.0,0.75
Lineare Single-Cell-SVM,66,0.125,0.29166666666666663,0.19583333333333333,0.5
Lineare Single-Cell-SVM,67,0.875,0.8333333333333333,0.7916666666666666,0.75
Lineare Single-Cell-SVM,68,1.0,1.0,1.0,0.875
Lineare Single-Cell-SVM,69,0.625,0.5,0.3333333333333333,0.5
Lineare Single-Cell-SVM,70,0.5,0.6666666666666666,0.6333333333333333,0.5
Lineare Single-Cell-SVM,71,0.625,0.7,0.6625,0.5
Lineare Single-Cell-SVM,72,1.0,1.0,1.0,0.5
Lineare Single-Cell-SVM,73,0.75,0.75,0.7083333333333333,0.625
Lineare Single-Cell-SVM,74,0.25,0.325,0.225,0.5
Lineare Single-Cell-SVM,75,0.625,0.7,0.6625,0.5
Lineare Single-Cell-SVM,76,1.0,1.0,1.0,0.625
Lineare Single-Cell-SVM,77,0.75,0.75,0.7083333333333333,0.75
Lineare Single-Cell-SVM,78,0.625,0.5,0.3333333333333333,0.5
Lineare Single-Cell-SVM,79,1.0,1.0,1.0,1.0
Lineare Single-Cell-SVM,80,0.875,0.8333333333333333,0.7916666666666666,0.625
Lineare Single-Cell-SVM,81,0.5,0.41666666666666663,0.29166666666666663,0.375
Lineare Single-Cell-SVM,82,1.0,1.0,1.0,0.625
Lineare Single-Cell-SVM,83,0.75,0.75,0.7083333333333333,0.5
Lineare Single-Cell-SVM,84,0.375,0.41666666666666663,0.2583333333333333,0.375
Lineare Single-Cell-SVM,85,0.875,0.8333333333333333,0.7916666666666666,0.75
Lineare Single-Cell-SVM,86,1.0,1.0,1.0,0.75
Lineare Single-Cell-SVM,87,0.625,0.5,0.3333333333333333,0.5
Lineare Single-Cell-SVM,88,0.75,0.5833333333333333,0.41666666666666663,0.5
Lineare Single-Cell-SVM,89,0.5,0.45,0.2875,0.625
Lineare Single-Cell-SVM,90,0.75,0.75,0.7083333333333333,0.625
Lineare Single-Cell-SVM,91,0.5,0.45,0.2875,0.5
Lineare Single-Cell-SVM,92,0.75,0.75,0.7083333333333333,0.5
Lineare Single-Cell-SVM,93,0.5,0.6666666666666666,0.6333333333333333,0.5
Lineare Single-Cell-SVM,94,0.5,0.6666666666666666,0.6333333333333333,0.25
Lineare Single-Cell-SVM,95,1.0,1.0,1.0,1.0
Lineare Single-Cell-SVM,96,1.0,1.0,1.0,0.5
Lineare Single-Cell-SVM,97,0.625,0.7,0.6625,0.625
Lineare Single-Cell-SVM,98,1.0,1.0,1.0,0.75
Lineare Single-Cell-SVM,99,0.875,0.8333333333333333,0.7916666666666666,0.75
