method,variant,reference_jaccard,fit_seconds
PCA,pca,0.010208784307479958,0.012970454001333565
PCA,pca_white,0.010201142038870676,0.008089325012406334
t-SNE,tsne_p5,0.16212853244682876,29.00319463701453
t-SNE,tsne_p30,0.18236554638605973,32.722796719986945
t-SNE,tsne_p50,0.17975196006441868,37.38224661999266
UMAP,umap_n15_d0.1,0.09171241287019002,17.817841123003745
UMAP,umap_n50_d0.1,0.07377609616476619,11.639412221993553
UMAP,umap_n15_d0.5,0.05314831335615996,6.671733789989958
