split_id,donor_id,y_true,filter_id,alpha,pooled_response,n_cells
0,a_002,1,1,0.02726331539452076,-0.6062572598457336,20000
0,a_004,0,1,0.02726331539452076,-1.014396071434021,20000
0,a_006,0,1,0.02726331539452076,-0.5079359412193298,20000
0,a_1a,0,1,0.02726331539452076,-0.7935750484466553,20000
0,a_2a,0,1,0.02726331539452076,-0.7653798460960388,20000
0,a_4a,1,1,0.02726331539452076,-0.693579912185669,20000
1,a_002,1,2,0.0176321379840374,-1.244598388671875,20000
1,a_003,0,2,0.0176321379840374,-3.2638626098632812,20000
1,a_004,0,2,0.0176321379840374,-4.354371070861816,20000
1,a_006,0,2,0.0176321379840374,-5.628604412078857,20000
1,a_3b,0,2,0.0176321379840374,-4.100487232208252,20000
1,a_5a,1,2,0.0176321379840374,-1.8041924238204956,20000
2,a_002,1,0,0.027747677639126778,-7.847811698913574,20000
2,a_004,0,0,0.027747677639126778,-11.736279487609863,20000
2,a_007,1,0,0.027747677639126778,-10.361814498901367,20000
2,a_010,0,0,0.027747677639126778,-11.691234588623047,20000
2,a_1a,0,0,0.027747677639126778,-8.405817985534668,20000
2,a_3b,0,0,0.027747677639126778,-8.975359916687012,20000
