variant,sample_id,silhouette
kmeans_k6,a_001,0.05940866256110256
kmeans_k6,a_002,0.0681638431075473
kmeans_k6,a_003,0.06033281399110873
kmeans_k6,a_004,0.11029936098654507
kmeans_k6,a_005,0.06619241615499383
kmeans_k6,a_006,0.10178312295576866
kmeans_k6,a_007,0.0846148104153699
kmeans_k6,a_009,0.03229383983863122
kmeans_k6,a_010,0.10476655586322252
kmeans_k6,a_011,0.04946987488756935
kmeans_k6,a_012,0.0550718767109146
kmeans_k6,a_1a,0.11969429624089481
kmeans_k6,a_2a,0.07572796759523688
kmeans_k6,a_2b,0.11745772517320864
kmeans_k6,a_3a,0.07813994653170309
kmeans_k6,a_3b,0.07707162785565318
kmeans_k6,a_4a,0.08271766218957378
kmeans_k6,a_4b,0.0693666542505312
kmeans_k6,a_5a,0.08559126058776925
kmeans_k6,a_5b,0.08827522764626813
kmeans_k10,a_001,0.06119509339866849
kmeans_k10,a_002,0.06691973322664435
kmeans_k10,a_003,0.0628374717865306
kmeans_k10,a_004,0.09554171408775546
kmeans_k10,a_005,0.05456121673866202
kmeans_k10,a_006,0.08682118540249568
kmeans_k10,a_007,0.08627547716485512
kmeans_k10,a_009,0.040655190694090466
kmeans_k10,a_010,0.08134339441571767
kmeans_k10,a_011,0.0597535837615894
kmeans_k10,a_012,0.05378999488472463
kmeans_k10,a_1a,0.09562556866415522
kmeans_k10,a_2a,0.08683527256268561
kmeans_k10,a_2b,0.11691000719248912
kmeans_k10,a_3a,0.06871123941948637
kmeans_k10,a_3b,0.08193717036041144
kmeans_k10,a_4a,0.06547421213674548
kmeans_k10,a_4b,0.044088277745235736
kmeans_k10,a_5a,0.07290382805922925
kmeans_k10,a_5b,0.07564243928560363
kmeans_k14,a_001,0.07375671583046546
kmeans_k14,a_002,0.07983673904663434
kmeans_k14,a_003,0.03868685444869556
kmeans_k14,a_004,0.10029600015034934
kmeans_k14,a_005,0.05126217799174411
kmeans_k14,a_006,0.13402323356210055
kmeans_k14,a_007,0.11143227580635219
kmeans_k14,a_009,0.032121490053492234
kmeans_k14,a_010,0.1043366750372443
kmeans_k14,a_011,0.03985611439235182
kmeans_k14,a_012,0.04246740002487814
kmeans_k14,a_1a,0.049329722065767356
kmeans_k14,a_2a,0.06998816566215696
kmeans_k14,a_2b,0.07742178342279414
kmeans_k14,a_3a,0.05262230670286093
kmeans_k14,a_3b,0.05173427712476151
kmeans_k14,a_4a,0.05718682331101455
kmeans_k14,a_4b,0.03345109919379572
kmeans_k14,a_5a,0.06147580414710009
kmeans_k14,a_5b,0.06577883147851898
ward_k6,a_001,0.05563394893695367
ward_k6,a_002,0.045470920510458875
ward_k6,a_003,0.02570508415944379
ward_k6,a_004,0.0718358211031054
ward_k6,a_005,0.030467444909913842
ward_k6,a_006,0.04622333365316428
ward_k6,a_007,0.0688444996541723
ward_k6,a_009,-0.011614991698475878
ward_k6,a_010,0.05269799412939742
ward_k6,a_011,0.017766573266110974
ward_k6,a_012,0.027862701254423517
ward_k6,a_1a,0.09389039992834565
ward_k6,a_2a,0.054016404702861065
ward_k6,a_2b,0.08782091346998262
ward_k6,a_3a,0.04779620199394924
ward_k6,a_3b,0.05749956812764855
ward_k6,a_4a,0.04709720133520895
ward_k6,a_4b,0.027231651106838683
ward_k6,a_5a,0.0382604920851107
ward_k6,a_5b,0.04864155911463139
ward_k10,a_001,0.046977254255756655
ward_k10,a_002,0.0350214059909132
ward_k10,a_003,0.025949758674570157
ward_k10,a_004,0.06703117693914548
ward_k10,a_005,0.0306945329066611
ward_k10,a_006,0.0684342325176768
ward_k10,a_007,0.05440580406201125
ward_k10,a_009,-0.00924928565257833
ward_k10,a_010,0.055315599688445086
ward_k10,a_011,0.025578721458405368
ward_k10,a_012,0.03933503009959859
ward_k10,a_1a,0.04999989664054513
ward_k10,a_2a,0.04268073006590064
ward_k10,a_2b,0.07268250481517251
ward_k10,a_3a,0.018499978693082474
ward_k10,a_3b,0.034333727700128644
ward_k10,a_4a,0.03469955071364671
ward_k10,a_4b,0.0020257419248789375
ward_k10,a_5a,0.02178621654578354
ward_k10,a_5b,0.033449302765197024
ward_k14,a_001,0.053236508840892996
ward_k14,a_002,0.05038113706015594
ward_k14,a_003,0.03820778583683479
ward_k14,a_004,0.07454234222169236
ward_k14,a_005,0.042062819203522735
ward_k14,a_006,0.08348552886393307
ward_k14,a_007,0.06446210108894922
ward_k14,a_009,0.0009010376104990633
ward_k14,a_010,0.06333414917589474
ward_k14,a_011,0.038771562591652
ward_k14,a_012,0.0459695216203642
ward_k14,a_1a,0.053817366800544074
ward_k14,a_2a,0.055147505385778804
ward_k14,a_2b,0.07548173803925669
ward_k14,a_3a,0.030048801780649573
ward_k14,a_3b,0.05085569192313365
ward_k14,a_4a,0.05034877059637795
ward_k14,a_4b,0.016770430156220234
ward_k14,a_5a,0.04536104040290846
ward_k14,a_5b,0.04398419825380384
leiden_r0.5,a_001,0.04971051250949397
leiden_r0.5,a_002,0.06571642969226037
leiden_r0.5,a_003,0.02633321691407867
leiden_r0.5,a_004,0.09816292288288235
leiden_r0.5,a_005,0.05512694916287225
leiden_r0.5,a_006,0.11033869020933443
leiden_r0.5,a_007,0.08888690444545386
leiden_r0.5,a_009,0.02523487363826907
leiden_r0.5,a_010,0.09997965360368449
leiden_r0.5,a_011,0.03843120769919875
leiden_r0.5,a_012,0.05201868384512932
leiden_r0.5,a_1a,0.10438476561533003
leiden_r0.5,a_2a,0.07181255804838559
leiden_r0.5,a_2b,0.08632293348742301
leiden_r0.5,a_3a,0.051863087714897935
leiden_r0.5,a_3b,0.04990028803816717
leiden_r0.5,a_4a,0.07817552867076778
leiden_r0.5,a_4b,0.06596473867206262
leiden_r0.5,a_5a,0.059976234544945176
leiden_r0.5,a_5b,0.05162795440522168
leiden_r1.0,a_001,0.06534944291446147
leiden_r1.0,a_002,0.0459228031809175
leiden_r1.0,a_003,0.04143770439777209
leiden_r1.0,a_004,0.08139889577956275
leiden_r1.0,a_005,0.04986490392895029
leiden_r1.0,a_006,0.08902216294572815
leiden_r1.0,a_007,0.07197303316771698
leiden_r1.0,a_009,0.03308091404034823
leiden_r1.0,a_010,0.06715707593737681
leiden_r1.0,a_011,0.020774442733348185
leiden_r1.0,a_012,0.04348189019922926
leiden_r1.0,a_1a,0.087718252877591
leiden_r1.0,a_2a,0.0848435621752182
leiden_r1.0,a_2b,0.10237505271908975
leiden_r1.0,a_3a,0.08146358070872799
leiden_r1.0,a_3b,0.0848442520095886
