split_id,training_seconds
0,26.200605204008752
1,23.60385953799414
2,35.29716305999318
3,24.72799279500032
4,35.84977614899981
5,24.00907203000679
6,25.242268790010712
7,19.94449384100153
8,19.72733682898979
9,40.88489419899997
10,18.641655953993904
11,30.53055321300053
12,28.466538173001027
13,25.56209572100488
14,15.67301743599819
15,30.94674141400901
16,18.77087009200477
17,28.01549724000506
18,19.18958184600342
19,25.1707765070023
20,34.74309700800222
21,21.35736805399938
22,23.091128964006202
23,18.802918054992915
24,21.031333227001596
25,28.37618943399866
26,21.929694748992915
27,17.224859034002293
28,20.57007263498963
29,22.9270676849992
30,17.207917001011083
31,23.938018747998285
32,31.615307728003245
33,24.26418105600169
34,16.99406631400052
35,19.514189905006788
36,36.47970686899498
37,17.066080054006306
38,18.928374789000372
39,29.000141133001307
40,18.560458182997536
41,24.267009800998494
42,34.99779890399077
43,21.553118816998904
44,23.95753335900372
45,16.8978180730046
46,25.874486372005777
47,22.883924701993237
48,18.01913055899786
49,28.932576524006436
