split_id,gate,run_mode,device,implementation_version,inner_fold,filter_count,candidate_seed,validation_accuracy,validation_roc_auc,best_validation_loss,validation_cross_entropy_at_best_epoch,epochs_run,selected
3,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,1360477108,0.4,0.5,0.7221157274246216,0.7220153532028198,6,False
3,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,1360477208,0.8,0.8333333333333334,0.45589719116687777,0.45188881492614746,25,False
3,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,1360487008,1.0,1.0,0.1935710170865059,0.18529652271419764,39,True
3,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,1360487108,0.5,1.0,0.6700028514862061,0.6699429488182068,6,False
3,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,1360487208,0.75,1.0,0.3336729681491852,0.3297149980068207,25,False
4,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,876933380,0.8,0.8333333333333333,0.5304429988861084,0.5262254509925842,25,False
4,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,876933480,1.0,1.0,0.129751701310277,0.12677786606550218,25,True
4,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,876933580,0.8,0.6666666666666666,0.6328810935020447,0.6309853525161743,15,False
4,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,876943380,0.6,0.8333333333333334,0.6736258764266968,0.6735191245079041,6,False
4,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,876943480,0.4,0.33333333333333337,0.7191354026794433,0.7190496315956115,6,False
4,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,876943580,0.4,0.16666666666666669,0.7221191534996033,0.722033263206482,6,False
4,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,876953380,0.75,1.0,0.2912468403577805,0.28490174770355225,36,False
4,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,876953480,0.5,0.75,0.6864949107170105,0.6863355278968811,8,False
4,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,876953580,0.5,0.5,0.6927436661720275,0.6926599216461181,6,False
5,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,3424658861,0.8,0.5,0.5203302946090699,0.516709805727005,24,False
5,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,3424658961,0.4,0.6666666666666666,0.7134536309242249,0.7132834596633911,8,False
5,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,3424659061,1.0,1.0,0.18183474206924438,0.17596082127094267,27,False
5,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,3424668861,0.6,1.0,0.5963602073192596,0.5940111064910889,19,False
5,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,3424668961,1.0,1.0,0.15185529697686434,0.14172496086603495,100,True
5,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,3424669061,0.4,0.33333333333333337,0.7202301783561706,0.7201126379966736,6,False
5,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,3424678861,0.0,0.0,0.7137061047554016,0.7136435794830323,7,False
5,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,3424678961,1.0,1.0,0.1853054293990135,0.1780409961938858,38,False
5,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,3424679061,0.5,0.75,0.4801466396450996,0.4783068227767944,15,False
6,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,2760305211,0.4,0.5,0.7472988343238831,0.7471570348739625,6,False
6,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,2760305311,0.8,0.8333333333333333,0.580706874370575,0.5802174010276795,10,False
6,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,2760305411,0.4,0.16666666666666666,0.7208010411262512,0.7207448935508728,6,False
6,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,2760315211,0.4,0.5,0.7165734844207764,0.7165411787033081,10,False
6,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,2760315311,0.4,0.33333333333333337,0.7979629709720611,0.797887630701065,6,False
6,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,2760315411,0.4,0.0,0.7643561124801636,0.7642564535140991,6,False
6,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,2760325211,1.0,1.0,0.06490883300080895,0.06002903053769842,53,False
6,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,2760325311,1.0,1.0,0.15036214038729667,0.1463759371638298,20,False
6,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,2760325411,1.0,1.0,0.008213727166876197,0.00542448184962268,91,True
7,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,2904491993,0.4,1.0,0.6764480385780335,0.6763884935379029,6,False
7,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,2904492093,0.8,1.0,0.48552602815628054,0.479937872171402,27,True
7,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,5,2904492193,0.4,0.0,0.7430562376976013,0.742969810962677,6,False
7,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,3,2904501993,0.6,0.33333333333333337,0.6813032078742981,0.6812508153915405,6,False
7,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,4,2904502093,0.4,0.8333333333333334,0.6842110366821289,0.6840971322059631,9,False
7,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,1,5,2904502193,0.4,0.0,0.7595087370872498,0.7594366154670715,6,False
7,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,3,2904511993,0.75,0.5,0.7161892557144165,0.7161415719985962,6,False
7,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,4,2904512093,0.5,0.0,0.6995268726348877,0.6994610691070556,6,False
7,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,2,5,2904512193,0.25,0.5,0.7451959729194642,0.7450770616531373,6,False
8,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,3,4245388344,0.4,0.0,0.771746413230896,0.7716622514724731,6,False
8,gated_alive,full,cuda,diagonal_prototype_relu_soft_top_fraction_v3_geometry_regularization,0,4,4245388444,0.4,0.0,0.7801816048622131,0.780112642288208,6,False
