split_id,training_seconds
0,16.799177096996573
1,22.717861757002538
2,17.096441556990612
3,18.71322575598606
4,34.2478733700118
5,21.217861984012416
6,29.373224360999302
7,16.582127560992376
8,15.940093627999886
9,23.63417172699701
10,18.729866510999273
11,21.358990127992
12,20.59273917300743
13,24.33188722700288
14,19.085496678002528
15,16.487502781004878
16,16.39236289600376
17,16.3814205009985
18,16.583553344986285
19,16.90246437099995
20,17.156139003986027
21,17.080976076991647
22,16.07421397100552
23,18.73646140799974
24,27.12656607599638
25,26.314100742005394
26,17.794799069000874
27,20.71913207200123
28,27.311591806996148
29,17.707682574997307
30,18.131156090996228
31,23.60371040699829
32,18.218204032993526
33,25.310316062998027
34,19.700789823007653
35,18.427716257996508
36,16.680370411995682
37,21.5411787389894
38,17.51448479499959
39,17.385670906005544
40,28.64354922399798
41,15.232114923986956
42,26.473082563999924
43,18.39211002198863
44,23.70895627498976
45,17.98974604299292
46,16.87173703800363
47,23.92056422700989
48,25.087099374999525
49,19.584132657008013
50,17.15642988299078
51,16.048081808999996
52,16.761172628001077
53,17.436006324991467
54,26.586423094995553
55,23.37356343299325
56,26.22434493599576
57,28.434168722989853
58,20.162617116002366
59,21.04781967800227
60,31.454445700001088
61,27.725534874000004
62,33.7334894539963
63,21.187724161005463
64,17.920092571002897
65,14.76263206700969
66,21.649108769997838
67,46.04026506599621
68,17.10041122700204
69,19.167790743988007
70,15.804329581995262
71,16.160387213996728
72,18.367619541997556
73,17.770344370001112
74,17.214289848008775
75,27.106609740003478
76,16.897808762005297
77,19.778830027993536
78,18.686328367999522
79,21.53396638299455
80,17.791954475993407
81,17.935722929993062
82,16.447545250994153
83,19.551343603001442
84,17.869954156994936
85,21.415938695994555
86,21.42724620400986
87,15.045365358993877
88,32.85780614199757
89,23.874825922001037
90,38.17228648500168
91,18.097232576998067
92,20.309746739003458
93,22.844201867002994
94,15.003591448999941
95,18.391968388998066
96,17.067486136991647
97,20.460534204990836
98,16.358097629010445
99,17.846405814998434
