split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_modified,frequency_auc_modified,frequency_effect_modified,phenotype_status_modified,network_auc_delta
31,0.875,0.75,0.00038750000000000004,berechnet,0.75,0.0,-0.000175,berechnet,-0.125
32,1.0,0.875,0.006337499999999999,berechnet,1.0,0.875,0.0039375,berechnet,0.0
33,0.75,1.0,0.0020250000000000003,berechnet,0.875,1.0,0.0009875,berechnet,0.125
34,0.875,1.0,0.0015375,berechnet,1.0,1.0,0.0094875,berechnet,0.125
35,0.875,0.8125,0.005212500000000001,berechnet,1.0,1.0,0.010275,berechnet,0.125
36,0.875,1.0,0.0061625,berechnet,0.75,1.0,0.0056125,berechnet,-0.125
37,1.0,1.0,0.0084125,berechnet,1.0,1.0,0.003025,berechnet,0.0
38,0.375,0.375,-0.041624999999999995,berechnet,1.0,1.0,0.02035,berechnet,0.625
39,0.875,0.875,0.006225,berechnet,0.875,0.625,0.0024375,berechnet,0.0
40,0.375,0.625,0.00031249999999999984,berechnet,0.625,0.625,0.000675,berechnet,0.25
41,0.5,0.5625,0.0018249999999999998,berechnet,1.0,0.6875,0.0019125000000000001,berechnet,0.5
42,0.625,0.5,-8.74999999999999e-05,berechnet,0.875,0.875,0.0007375000000000001,berechnet,0.25
43,0.875,1.0,0.011537500000000001,berechnet,1.0,0.75,0.008175,berechnet,0.125
44,0.5,,,kein positiver Output-Kontrast,1.0,1.0,0.0120625,berechnet,0.5
45,1.0,1.0,0.01605,berechnet,1.0,1.0,0.012887499999999998,berechnet,0.0
46,1.0,0.875,0.0011625,berechnet,0.875,0.8125,7.500000000000002e-05,berechnet,-0.125
47,0.75,0.875,0.0050625,berechnet,0.875,1.0,0.007712499999999999,berechnet,0.125
48,0.75,0.875,0.0123,berechnet,1.0,0.8125,0.0044875,berechnet,0.25
49,0.625,0.625,0.001,berechnet,0.75,0.6875,0.0014375,berechnet,0.125
50,0.75,0.75,0.0051375,berechnet,0.75,0.6875,0.001075,berechnet,0.0
51,1.0,1.0,0.0102125,berechnet,1.0,1.0,0.0133625,berechnet,0.0
52,1.0,1.0,0.0033499999999999997,berechnet,1.0,0.625,0.00015000000000000001,berechnet,0.0
53,1.0,1.0,0.0124,berechnet,1.0,0.875,0.007899999999999999,berechnet,0.0
54,0.25,0.5,-0.00039999999999999996,berechnet,0.875,0.75,0.000125,berechnet,0.625
55,1.0,1.0,0.015187500000000001,berechnet,1.0,1.0,0.00605,berechnet,0.0
56,0.75,0.875,0.013225,berechnet,1.0,0.875,0.00845,berechnet,0.25
57,0.875,0.875,0.00445,berechnet,0.875,0.625,0.0024375,berechnet,0.0
58,1.0,1.0,0.0178375,berechnet,1.0,1.0,0.0092,berechnet,0.0
59,0.75,0.75,0.0012125,berechnet,1.0,0.875,0.000325,berechnet,0.25
60,0.75,0.875,0.0239375,berechnet,0.75,1.0,0.0158375,berechnet,0.0
61,0.625,1.0,0.007987500000000002,berechnet,0.75,1.0,0.0047374999999999995,berechnet,0.125
62,1.0,1.0,0.0101,berechnet,0.75,1.0,0.009174999999999999,berechnet,-0.25
63,0.875,0.625,0.00015000000000000001,berechnet,1.0,1.0,0.00165,berechnet,0.125
64,0.875,1.0,0.007975,berechnet,1.0,1.0,0.0043875,berechnet,0.125
65,1.0,1.0,0.0168625,berechnet,1.0,1.0,0.01645,berechnet,0.0
66,1.0,1.0,0.0016375,berechnet,0.75,0.5,-0.000225,berechnet,-0.25
67,0.875,1.0,0.0156125,berechnet,1.0,1.0,0.009224999999999999,berechnet,0.125
68,0.75,0.625,0.0019124999999999993,berechnet,1.0,1.0,0.0083875,berechnet,0.25
69,0.75,0.6875,0.0004875,berechnet,0.75,0.75,3.7500000000000003e-05,berechnet,0.0
70,0.625,0.625,0.007487499999999999,berechnet,1.0,0.875,0.0044875,berechnet,0.375
71,0.75,0.875,0.006274999999999999,berechnet,1.0,0.8125,0.004050000000000001,berechnet,0.25
72,0.875,1.0,0.0117625,berechnet,1.0,1.0,0.008375,berechnet,0.125
73,0.75,0.75,0.00925,berechnet,0.875,0.6875,0.0049375,berechnet,0.125
74,0.5,0.625,0.00035000000000000005,berechnet,0.75,0.75,0.0002999999999999999,berechnet,0.25
75,0.875,0.875,0.0049,berechnet,0.625,0.5,0.0060625,berechnet,-0.25
76,1.0,1.0,0.014575000000000003,berechnet,1.0,1.0,0.0111375,berechnet,0.0
77,0.875,0.875,0.0062875,berechnet,1.0,1.0,0.0034125,berechnet,0.125
78,1.0,1.0,0.025174999999999996,berechnet,1.0,1.0,0.0051125,berechnet,0.0
79,1.0,1.0,0.0086625,berechnet,1.0,1.0,0.015225,berechnet,0.0
80,0.625,0.625,0.000125,berechnet,1.0,0.875,0.005537500000000001,berechnet,0.375
81,0.75,0.875,0.013587499999999999,berechnet,1.0,0.875,0.0084875,berechnet,0.25
82,1.0,1.0,0.01425,berechnet,1.0,1.0,0.013125000000000001,berechnet,0.0
83,1.0,1.0,0.008212500000000001,berechnet,1.0,0.75,0.0053124999999999995,berechnet,0.0
84,0.375,,,kein positiver Output-Kontrast,0.5,1.0,5e-05,berechnet,0.125
85,0.75,0.875,0.005487499999999999,berechnet,1.0,1.0,0.010700000000000001,berechnet,0.25
86,1.0,1.0,0.021675000000000003,berechnet,1.0,1.0,0.007775,berechnet,0.0
87,0.75,0.875,0.0007,berechnet,0.375,0.6875,8.75e-05,berechnet,-0.375
88,1.0,0.75,0.0016625,berechnet,1.0,0.6875,0.0007625000000000002,berechnet,0.0
89,0.875,1.0,0.015874999999999997,berechnet,0.75,1.0,0.0091,berechnet,-0.125
90,0.875,0.75,0.007325,berechnet,1.0,0.875,0.0018375,berechnet,0.125
91,0.75,0.5625,0.0046625,berechnet,0.875,0.875,0.0058874999999999995,berechnet,0.125
92,1.0,0.875,0.013024999999999998,berechnet,1.0,1.0,0.008925,berechnet,0.0
93,0.75,0.75,0.005425,berechnet,1.0,0.5,0.0016124999999999998,berechnet,0.25
94,0.375,0.375,6.250000000000006e-05,berechnet,1.0,1.0,0.0044125,berechnet,0.625
95,1.0,1.0,0.0115,berechnet,1.0,1.0,0.0100625,berechnet,0.0
96,0.25,1.0,0.0020625,berechnet,0.625,0.5625,8.750000000000001e-05,berechnet,0.375
97,0.625,0.8125,0.013225,berechnet,0.625,0.6875,0.0011625,berechnet,0.0
98,0.875,1.0,0.0093875,berechnet,1.0,1.0,0.0085625,berechnet,0.125
99,0.875,1.0,0.009587499999999999,berechnet,1.0,0.75,0.009925,berechnet,0.125
