split_id,network_auc,frequency_auc,frequency_effect,pooled_response_auc,pooled_response_effect,phenotype_status
32,0.875,0.875,0.0051,1.0,0.6285025700926781,berechnet
33,0.5,0.875,0.001175,0.75,0.11133884824812412,berechnet
34,0.75,0.75,0.0026249999999999997,0.75,0.19577899761497974,berechnet
35,0.875,0.6875,0.0007624999999999999,0.75,0.1728766057640314,berechnet
36,0.625,0.75,0.007324999999999998,0.75,0.3535209372639656,berechnet
37,0.5,0.25,-0.00015000000000000001,0.875,0.0748690813779831,berechnet
38,1.0,1.0,0.0050999999999999995,1.0,0.5449499413371086,berechnet
39,0.75,0.5,0.0028125,0.5,0.08651106804609299,berechnet
40,0.0,0.0,-0.000725,0.0,-0.09406839311122894,berechnet
41,0.5,0.5,-0.0015874999999999997,0.5,-0.08477683365345001,berechnet
42,0.25,0.5,2.499999999999985e-05,0.5,-0.0022745728492736816,berechnet
43,0.875,0.875,0.007475,1.0,0.7630116641521454,berechnet
44,1.0,1.0,0.030975000000000003,1.0,1.869144480675459,berechnet
45,0.25,0.5,-6.249999999999999e-05,0.0,-0.10331016406416893,berechnet
46,0.75,0.4375,-3.7500000000000003e-05,0.75,0.13654745370149612,berechnet
47,0.75,0.75,0.003299999999999999,0.75,0.2733435817062855,berechnet
48,0.875,0.375,-8.75e-05,0.5,-0.005992642603814602,berechnet
49,0.5,0.75,0.0013874999999999998,0.75,0.19385302066802979,berechnet
50,0.625,0.5,0.0,0.375,0.007381659932434559,berechnet
51,1.0,1.0,0.0023375,1.0,0.2598883640021086,berechnet
52,1.0,0.9375,0.0013875,0.5,0.20620081759989262,berechnet
53,1.0,1.0,0.01175,1.0,0.5991052985191345,berechnet
54,0.75,0.875,0.001075,0.875,0.4589883014559746,berechnet
55,0.75,1.0,0.013349999999999999,1.0,1.8442899286746979,berechnet
56,0.5,0.5,0.00041249999999999994,0.5,-0.026263324543833733,berechnet
57,0.875,0.875,0.0025125,0.875,0.810869462788105,berechnet
58,0.625,1.0,0.0009875,1.0,0.3323956816457212,berechnet
59,0.125,0.125,-0.00016250000000000002,0.25,-0.04995229933410883,berechnet
60,0.875,0.75,0.002075,0.875,0.2786762025207281,berechnet
61,0.75,0.8125,0.0019749999999999998,0.875,0.6176589280366898,berechnet
62,0.75,0.875,0.001925,0.875,0.27177687734365463,berechnet
63,1.0,0.6875,0.000125,0.75,0.23413364309817553,berechnet
64,1.0,0.75,0.005050000000000001,0.75,0.3399849385023117,berechnet
65,0.625,0.3125,-0.0014375000000000004,0.125,-0.042670770548284054,berechnet
66,0.75,0.375,-0.00017500000000000003,0.25,-0.02329719439148903,berechnet
67,1.0,1.0,0.003725,1.0,0.35376173444092274,berechnet
68,0.75,0.875,0.0021249999999999997,0.875,0.13765377551317215,berechnet
