split_id,training_seconds
0,16.598555243006558
1,20.60907426699123
2,27.75648623899906
3,27.21717659299611
4,25.226231637003366
5,39.44217087001016
6,35.6191262909997
7,18.685839499987196
8,19.297428218997084
9,41.584559664013796
10,22.038730428001145
11,31.590736940997886
12,22.64251839600911
13,25.061790658990503
14,15.602711487008492
15,20.902533037005924
16,18.809397254997748
17,27.535550659013097
18,18.339637190001667
19,18.985111128000426
20,32.388810180011205
21,21.00493819100666
22,25.607455792007386
23,23.618173915994703
24,18.098795683996286
25,21.611830406996887
26,21.903643362995354
27,30.19047031700029
28,21.46169646999624
29,18.86011579800106
30,20.43486827299057
31,43.380037984999944
32,22.574911882999004
33,23.86493860500923
34,18.190713948002667
35,21.792659516999265
36,30.13209759599704
37,18.419660372004728
38,21.950550437002676
39,20.517095843999414
40,18.83361332399363
41,31.126950746998773
42,33.67224304299452
43,19.076453461995698
44,31.571052846993553
45,18.151439919995028
46,24.900366549991304
47,32.154338880995056
48,17.504028664989164
49,23.720713383998373
50,16.277982964005787
51,18.892201540991664
52,18.348948334998568
53,35.139993311007856
54,16.829354143992532
55,38.06014828798652
56,16.289261190002435
57,54.64125493100437
58,19.980729956994765
59,15.717572458001086
60,19.34742029599147
61,25.642842069995822
62,19.932912108997698
63,28.019186647987226
64,26.428309941999032
65,15.789397726999596
66,22.21683033600857
67,31.745329145996948
68,24.695221391011728
69,33.23295970899926
70,16.381919506005943
71,28.310044494006434
72,19.74999367899727
73,26.680916696001077
74,40.22942542900273
75,37.68811107099464
76,27.951928233000217
77,25.817284945005667
78,17.857514646995696
79,18.879105986998184
80,17.729831710996223
81,29.581974636006635
82,24.283485337000457
83,17.472057035993203
84,35.99492247500166
85,17.0444403290021
86,18.949364321000758
87,21.845083596999757
88,19.819573501998093
89,30.932585939008277
90,34.15427898199414
91,26.477920107994578
92,48.188340050997795
93,30.638720941002248
94,21.10994387201208
95,24.789841912992415
96,18.36480068799574
97,25.501433821002138
98,21.655789661002927
99,24.962975307003944
