split_id,training_seconds
0,15.176111236003635
1,19.69067573799839
2,16.018731254996965
3,16.0871310260045
4,23.697386200998153
5,19.1979174329972
6,25.18491457300115
7,16.013354800001252
8,15.394465958001092
9,20.52832477800257
10,14.825205675006146
11,18.74436142000195
12,18.278351600994938
13,20.62843036900449
14,17.417360607010778
15,15.185738043990568
16,15.85017598500417
17,14.652043015012168
18,16.18715807099943
19,16.418659446993843
20,16.251218300996698
21,15.189727078992291
22,14.345138701988617
23,16.591820230998565
24,25.396594022997306
25,23.41337811399717
26,15.434397292003268
27,18.656213101014146
28,24.112470341002336
29,16.74106946500251
30,15.970389726004214
31,19.36489219800569
32,17.285628683006507
33,23.10500889198738
34,18.523537387009128
35,16.423552193009527
36,16.80463962300564
37,15.711541541997576
38,16.085330398011138
39,18.417099979007617
40,16.95050726699992
41,14.311089869996067
42,22.023502933996497
43,17.001985171998967
44,21.126776908989996
45,14.979175329004647
46,14.181297674993402
47,18.62554796099721
48,22.233703991994844
49,15.42595448200882
50,13.66957938799169
51,13.616832439991413
52,14.306262311001774
53,14.282740815993748
54,18.807551471007173
55,19.020838455995545
56,21.20506334899983
57,20.478060601002653
58,16.476356689003296
59,16.56169225400663
60,26.061234048989718
61,20.896797228007927
62,27.505727254989324
63,15.670445784999174
64,14.889196007003193
65,12.586215552000795
66,19.469614849993377
67,28.570736421010224
68,15.098556202006876
69,17.33604415100126
70,15.821437410995713
71,13.790099912992446
72,14.924656926988973
73,14.771389731991803
74,14.751715118996799
75,17.146599296989734
76,14.34648670599563
77,15.342791062998003
78,14.53247606199875
79,17.19020603899844
80,13.64246726600686
81,15.573888099999749
82,14.955741564001073
83,15.326948183006607
84,15.20914167999581
85,19.795253648000653
86,18.326007067007595
87,13.067107243012288
88,28.652523982003913
89,20.151069062994793
90,25.713515285999165
91,14.12523857600172
92,15.76067439300823
93,17.514730010007042
94,12.518310864994419
95,15.167139351993683
96,14.058299123003962
97,16.642194400003063
98,13.224895249004476
99,14.927839280004264
