Metrik,Baseline,Quadratisches CellCNN
Mittlere Network-ROC-AUC,0.8075,0.9125
Mediane Network-ROC-AUC,0.875,1.0
Mittlere Häufigkeits-ROC-AUC,0.8558673469387755,0.86375
Mittlere Häufigkeitsdifferenz CMV+ minus CMV−,0.007403188775510203,0.005704874999999999
