Metrik,Lineare Baseline,Quadratic Soft-Top-Alpha
Mittlere Network-ROC-AUC,0.8075,0.9125
Mediane Network-ROC-AUC,0.875,1.0
Mittlere Häufigkeits-ROC-AUC (gemeinsame Splits),0.8558673469387755,0.8558673469387755
Mittlere Häufigkeitsdifferenz CMV+ minus CMV− (gemeinsame Splits),0.007403188775510203,0.005351147959183673
Anzahl Network-Splits,100.0,100.0
Anzahl gemeinsam bestimmbarer Frequency-Splits,98.0,98.0
