split_id,split_seed,gate,run_mode,device,implementation_version,cofactor,top_fraction,inner_fold,filter_id,marker,filter_weight,filter_bias,output_weight_contrast,output_weight_0,output_weight_1,output_bias_0,output_bias_1,scaler_mean,scaler_scale
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD3,-0.31318211555480957,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,3.2439466706743225,1.8088818782238303
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD27,-0.3621409237384796,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.8250428611381987,1.069098454848712
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD19,0.49180757999420166,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.7290747969309397,1.210881123124833
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD4,-0.25386011600494385,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,1.057066175608667,1.2611187109266715
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD8,-0.31148216128349304,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,1.9528988956314983,1.615324045745577
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD57,-0.0756823718547821,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.7445674971389589,1.3801598419735601
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,2DL1-S1,-0.1163649782538414,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.1652560668355983,0.6369295723582787
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,TRAIL,-0.1330297887325287,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,-0.030557242959362595,0.3043906720221368
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,2DL2-L3-S2,-0.16923460364341736,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.1294664661820261,0.5787761246658992
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD16,-0.4404878616333008,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,1.1164860466369504,1.5933873342654965
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD10,-0.08261410146951675,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.24696197636528797,0.7102743371740671
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,3DL1-S1,-0.20252561569213867,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.008361080420534945,0.43419439121513537
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD117,-0.13749775290489197,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.04866157877945219,0.44719729110615847
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,2DS4,-0.18139824271202087,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.36023805584560986,0.9323555265722037
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,ILT2-CD85j,0.5592833757400513,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,1.427198346065821,1.368633031254982
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,NKp46,-0.0021262450609356165,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.3130015988842002,0.8464255412918472
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,NKG2D,-0.2525041401386261,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.5974098432832365,0.9717483153787522
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,NKG2C,-0.2883877158164978,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.24957444135683332,0.7736952282278631
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,2B4,-0.2436366081237793,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,1.3563531698995033,1.275447909749269
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD33,-0.23819737136363983,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,2.641586193218271,1.6920762681689754
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD11b,-0.19533030688762665,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.6907466173280332,0.9433186877164573
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,NKp30,-0.11059442162513733,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.44467679515448616,0.9455136309262189
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD122,-0.08164616674184799,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.4107696636526631,0.895552965118263
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,3DL1,-0.24629531800746918,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.13350798997286686,0.7220549163486274
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,NKp44,-0.24511052668094635,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.009620067227891835,0.40210701271310023
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD127,-0.25803905725479126,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,1.023810946565673,1.3400816382201632
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,2DL1,-0.2257424294948578,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.14370673339682594,0.6141403595813302
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD94,-0.21942824125289917,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.7309536604858404,1.3474345898968076
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD34,-0.1742749661207199,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.6451498290678377,1.0613652604034771
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CCR7,-0.44053637981414795,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.46562431857145,0.8564266005093126
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,2DL3,-0.07701969146728516,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.23159960512742223,0.7210781134252146
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,NKG2A,-0.30063191056251526,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.8180165714940357,1.2458202636957
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,HLA-DR,-0.0668652132153511,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,3.480468827510312,2.0352494130321914
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,2DL4,0.23556286096572876,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,1.0165093009123027,1.1201817493677393
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD56,-0.25661957263946533,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.967351583223167,1.328834581637536
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,2DL5,0.0487942174077034,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.25392630483895756,0.6728603262958092
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,0,CD25,-0.26866284012794495,0.22558633983135223,-0.7870976328849792,0.5624273419380188,-0.22467030584812164,-0.15915286540985107,-0.08878938108682632,0.05216512108252757,0.4223882556272199
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,1,CD3,0.402471661567688,-0.0005594872054643929,0.7081660628318787,-0.6101672649383545,0.09799878299236298,-0.15915286540985107,-0.08878938108682632,3.2439466706743225,1.8088818782238303
0,3003105692,gated_alive,full,cuda,pytorch_materialized_v1,5.0,0.01,1,1,CD27,-0.10008036345243454,-0.0005594872054643929,0.7081660628318787,-0.6101672649383545,0.09799878299236298,-0.15915286540985107,-0.08878938108682632,0.8250428611381987,1.069098454848712
