split_id,donor_id,y_true,filter_id,alpha,rho,halfmax_threshold,frequency,n_selected_cells,training_donors,pooled_response,n_cells
4,a_011,0,3,0.007797215133905411,4.590177536010742,1.8429834842681885,0.0003,6,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,1.0471786260604858,20000
4,a_2a,0,3,0.007797215133905411,4.590177536010742,1.8429834842681885,0.0002,4,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,0.5235928297042847,20000
4,a_4b,1,3,0.007797215133905411,4.590177536010742,1.8429834842681885,0.00145,29,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,1.4568781852722168,20000
5,a_003,0,1,0.012437699362635612,2.7822060585021973,1.1170125007629395,0.00245,49,a_002;a_004;a_005;a_007;a_009;a_012;a_2a;a_3a;a_4b,0.8717109560966492,20000
5,a_011,0,1,0.012437699362635612,2.7822060585021973,1.1170125007629395,0.0023,46,a_002;a_004;a_005;a_007;a_009;a_012;a_2a;a_3a;a_4b,0.8427426815032959,20000
5,a_2b,0,1,0.012437699362635612,2.7822060585021973,1.1170125007629395,5e-05,1,a_002;a_004;a_005;a_007;a_009;a_012;a_2a;a_3a;a_4b,0.025893697515130043,20000
5,a_3b,0,1,0.012437699362635612,2.7822060585021973,1.1170125007629395,0.00095,19,a_002;a_004;a_005;a_007;a_009;a_012;a_2a;a_3a;a_4b,0.3798660337924957,20000
5,a_5a,1,1,0.012437699362635612,2.7822060585021973,1.1170125007629395,0.0063,126,a_002;a_004;a_005;a_007;a_009;a_012;a_2a;a_3a;a_4b,1.1278910636901855,20000
5,a_5b,1,1,0.012437699362635612,2.7822060585021973,1.1170125007629395,0.0157,314,a_002;a_004;a_005;a_007;a_009;a_012;a_2a;a_3a;a_4b,1.422684907913208,20000
6,a_001,1,3,0.008697382174432278,3.879899024963379,1.8225975036621094,0.00185,37,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b,1.1532710790634155,20000
6,a_003,0,3,0.008697382174432278,3.879899024963379,1.8225975036621094,0.00195,39,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b,1.222024917602539,20000
6,a_1a,0,3,0.008697382174432278,3.879899024963379,1.8225975036621094,0.00145,29,a_002;a_004;a_006;a_007;a_009;a_010;a_012;a_3b;a_4b;a_5b,1.1260013580322266,20000
