split_id,training_seconds
0,16.598555243006558
1,20.60907426699123
2,27.75648623899906
3,27.21717659299611
4,25.226231637003366
5,39.44217087001016
6,35.6191262909997
7,18.685839499987196
8,19.297428218997084
9,41.584559664013796
10,22.038730428001145
11,31.590736940997886
12,22.64251839600911
13,25.061790658990503
14,15.602711487008492
15,20.902533037005924
16,18.809397254997748
17,27.535550659013097
18,18.339637190001667
19,18.985111128000426
20,32.388810180011205
21,21.00493819100666
22,25.607455792007386
23,23.618173915994703
24,18.098795683996286
25,21.611830406996887
26,21.903643362995354
27,30.19047031700029
28,21.46169646999624
29,18.86011579800106
30,20.43486827299057
31,43.380037984999944
32,22.574911882999004
33,23.86493860500923
34,18.190713948002667
35,21.792659516999265
36,30.13209759599704
37,18.419660372004728
38,21.950550437002676
39,20.517095843999414
40,18.83361332399363
41,31.126950746998773
42,33.67224304299452
43,19.076453461995698
44,31.571052846993553
45,18.151439919995028
46,24.900366549991304
47,32.154338880995056
48,17.504028664989164
49,23.720713383998373
