split_id,training_seconds
0,16.799177096996573
1,22.717861757002538
2,17.096441556990612
3,18.71322575598606
4,34.2478733700118
5,21.217861984012416
6,29.373224360999302
7,16.582127560992376
8,15.940093627999886
9,23.63417172699701
10,18.729866510999273
11,21.358990127992
12,20.59273917300743
13,24.33188722700288
14,19.085496678002528
15,16.487502781004878
16,16.39236289600376
17,16.3814205009985
18,16.583553344986285
19,16.90246437099995
20,17.156139003986027
21,17.080976076991647
22,16.07421397100552
23,18.73646140799974
24,27.12656607599638
25,26.314100742005394
26,17.794799069000874
27,20.71913207200123
28,27.311591806996148
29,17.707682574997307
30,18.131156090996228
31,23.60371040699829
32,18.218204032993526
33,25.310316062998027
34,19.700789823007653
35,18.427716257996508
36,16.680370411995682
37,21.5411787389894
38,17.51448479499959
39,17.385670906005544
40,28.64354922399798
41,15.232114923986956
42,26.473082563999924
43,18.39211002198863
44,23.70895627498976
45,17.98974604299292
46,16.87173703800363
47,23.92056422700989
48,25.087099374999525
49,19.584132657008013
