split_id,gate,run_mode,device,implementation_version,inner_fold,filter_count,candidate_seed,validation_accuracy,validation_roc_auc,best_validation_loss,epochs_run,selected
4,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,5,876943580,0.8,1.0,0.32031880486011505,7,False
4,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,3,876953380,0.75,0.5,0.621636860370636,7,False
4,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,4,876953480,1.0,1.0,0.3565239381790161,7,False
4,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,5,876953580,0.5,0.75,0.665277637988329,9,False
5,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,3,3424658861,0.8,0.8333333333333333,0.35885782074928285,12,False
5,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,4,3424658961,1.0,1.0,0.258070294521749,10,True
5,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,5,3424659061,0.6,0.8333333333333333,0.5462379200160503,7,False
5,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,3,3424668861,0.6,0.8333333333333334,0.5008614140283316,21,False
5,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,4,3424668961,0.8,0.8333333333333334,0.45916080057621,6,False
5,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,1,5,3424669061,0.8,1.0,0.4272288163900375,7,False
5,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,3,3424678861,0.5,0.75,0.4448444973118603,17,False
5,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,4,3424678961,0.5,0.0,0.6999492931365967,6,False
5,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,2,5,3424679061,1.0,1.0,0.3453298338875175,26,False
6,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,3,2760305211,0.4,0.5,0.7125986113548278,8,False
6,gated_alive,full,cuda,quadratic_relu_soft_top_fraction_v1,0,4,2760305311,0.6,0.8333333333333333,0.8298826104402542,6,False
