split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_learnable,frequency_auc_learnable,frequency_effect_learnable,phenotype_status_learnable,network_auc_hard,frequency_auc_hard,frequency_effect_hard,phenotype_status_hard,network_auc_delta,network_auc_delta_vs_baseline
20,0.75,0.75,0.0003250000263506081,berechnet,0.75,1.0,0.002762499936579843,berechnet,,,,,,0.0
21,0.625,0.5,0.0034749999722407665,berechnet,1.0,1.0,0.0038999997868813807,berechnet,,,,,,0.375
22,0.625,0.875,0.009037499832629692,berechnet,0.375,0.875,0.001337499954388477,berechnet,,,,,,-0.25
23,0.625,1.0,0.007537499652244151,berechnet,1.0,0.8125,0.0005499999906533048,berechnet,,,,,,0.375
24,1.0,1.0,0.025225000048521906,berechnet,1.0,1.0,0.01584999948681798,berechnet,,,,,,0.0
25,0.875,1.0,0.002537499734899029,berechnet,1.0,0.875,0.0008499999403284164,berechnet,,,,,,0.125
26,0.875,0.875,0.003475000006801565,berechnet,1.0,0.875,0.0037499999334613676,berechnet,,,,,,0.125
27,0.75,0.625,0.010962500120513141,berechnet,1.0,0.75,0.00911250020544685,berechnet,,,,,,0.25
28,1.0,1.0,0.013787499643513002,berechnet,1.0,1.0,0.009512499989796197,berechnet,,,,,,0.0
29,1.0,1.0,0.014437499434279744,berechnet,1.0,1.0,0.009824999418924563,berechnet,,,,,,0.0
30,0.875,0.875,0.003149999916786328,berechnet,1.0,1.0,0.003674999847135041,berechnet,,,,,,0.125
31,0.875,0.75,0.00038749996019760147,berechnet,0.75,0.0,-0.00017499999557912815,berechnet,,,,,,-0.125
32,1.0,0.875,0.006337499995424878,berechnet,1.0,0.875,0.004049999888593447,berechnet,,,,,,0.0
33,0.75,1.0,0.002025000016146805,berechnet,0.875,1.0,0.0011249999970459612,berechnet,,,,,,0.125
34,0.875,1.0,0.0015374999939012923,berechnet,1.0,1.0,0.009499999660874892,berechnet,,,,,,0.125
35,0.875,0.8125,0.005212499889239552,berechnet,1.0,1.0,0.010062499750347342,berechnet,,,,,,0.125
36,0.875,1.0,0.006162499747006223,berechnet,0.75,1.0,0.0053749999296996975,berechnet,,,,,,-0.125
37,1.0,1.0,0.008412499752012081,berechnet,1.0,1.0,0.0031749998925079126,berechnet,,,,,,0.0
38,0.375,0.375,-0.041624998673796654,berechnet,1.0,1.0,0.017912499994054087,berechnet,,,,,,0.625
39,0.875,0.875,0.006224999620826566,berechnet,1.0,0.6875,0.002687500022148015,berechnet,,,,,,0.125
40,0.375,0.625,0.0003125000630461727,berechnet,0.625,0.5625,0.00037499997051781975,berechnet,,,,,,0.25
41,0.5,0.5625,0.0018249998229293851,berechnet,0.875,0.875,0.0017000000107145752,berechnet,,,,,,0.375
42,0.625,0.5,-8.749996777623892e-05,berechnet,0.875,0.875,0.0009749999808263965,berechnet,,,,,,0.25
43,0.875,1.0,0.0115375000750646,berechnet,1.0,0.75,0.008162499633726839,berechnet,,,,,,0.125
44,0.5,,,kein positiver Output-Kontrast,1.0,1.0,0.012187499779429345,berechnet,,,,,,0.5
45,1.0,1.0,0.016049999507231405,berechnet,1.0,1.0,0.012762499511154601,berechnet,,,,,,0.0
46,1.0,0.875,0.001162500018835999,berechnet,0.875,0.8125,9.999999292631401e-05,berechnet,,,,,,-0.125
47,0.75,0.875,0.0050624998402781785,berechnet,0.875,1.0,0.006762499840988312,berechnet,,,,,,0.125
48,0.75,0.875,0.012299999973038211,berechnet,1.0,0.875,0.004649999847970321,berechnet,,,,,,0.25
49,0.625,0.625,0.000999999917439709,berechnet,0.75,0.6875,0.001624999940759153,berechnet,,,,,,0.125
