first,second,n_splits,mean,median,q1,q3,better,equal,worse
CellCNN,SVM,30,0.016666666666666666,0.0,0.0,0.125,12,12,6
CellCNN,Citrus,30,0.21875,0.1875,0.015625,0.375,22,6,2
SVM,Citrus,30,0.20208333333333334,0.125,0.0,0.375,19,6,5
