method,metric,n_splits,mean,median,q1,q3
CellCNN,roc_auc,30,0.825,0.875,0.625,1.0
CellCNN,average_precision,30,0.8399999999999999,0.8333333333333333,0.7,1.0
CellCNN,balanced_accuracy,30,0.6791666666666667,0.625,0.5,0.875
Citrus,roc_auc,30,0.60625,0.625,0.5,0.75
Citrus,average_precision,30,0.5783333333333333,0.5416666666666666,0.3416666666666667,0.75
Citrus,balanced_accuracy,30,0.5291666666666667,0.5,0.5,0.625
SVM,roc_auc,30,0.8083333333333333,0.875,0.75,0.875
SVM,average_precision,30,0.7949999999999999,0.8333333333333333,0.7124999999999999,0.8333333333333333
SVM,balanced_accuracy,30,0.625,0.625,0.5,0.75
