split_id,filter_id,response_threshold,output_contrast,eligible
0,0,3.687589645385742,-0.7870976328849792,False
0,1,4.915562629699707,0.7081660628318787,True
0,2,3.313272714614868,-0.8355383276939392,False
0,3,5.7470903396606445,0.9787687063217163,True
1,0,7.821967601776123,1.4091005325317383,True
1,1,17.055856704711914,-1.2407121658325195,False
1,2,6.7455267906188965,0.7404954433441162,True
1,3,8.478934288024902,1.394927978515625,True
1,4,13.089471817016602,-1.0420498847961426,False
2,0,3.3333277702331543,-0.5008331537246704,False
2,1,13.98712158203125,-1.5485179424285889,False
2,2,10.046615600585938,1.5919640064239502,True
3,0,6.498873233795166,1.0719891786575317,True
3,1,4.02574348449707,-0.6875157952308655,False
3,2,7.0770487785339355,-0.7279831171035767,False
4,0,13.462308883666992,-1.4538708925247192,False
4,1,6.225761890411377,-1.6893115043640137,False
4,2,5.863014221191406,1.5198402404785156,True
4,3,5.376983642578125,1.377243995666504,True
4,4,6.736312389373779,1.2530425786972046,True
5,0,2.5207417011260986,0.6842905879020691,True
5,1,6.365942001342773,1.058971643447876,True
5,2,7.839405059814453,-0.7661307454109192,False
6,0,5.557640075683594,-1.219934344291687,False
6,1,5.759427070617676,-1.1128380298614502,False
6,2,8.383149147033691,1.5652592182159424,True
6,3,9.248740196228027,1.7333722114562988,True
6,4,6.645968914031982,-1.3696353435516357,False
7,0,9.261360168457031,0.9900535345077515,True
7,1,11.82023811340332,-0.9280884861946106,False
7,2,6.1654462814331055,-1.463072657585144,False
7,3,5.3239665031433105,0.3497503697872162,True
7,4,5.609726428985596,0.9116219878196716,True
8,0,4.983469009399414,-0.9115395545959473,False
8,1,1.2308599948883057,0.09071186184883118,True
8,2,4.924800395965576,-0.7839014530181885,False
8,3,7.539319038391113,1.0116031169891357,True
9,0,6.314587593078613,-0.736107587814331,False
9,1,10.161567687988281,-0.7209049463272095,False
9,2,6.97072172164917,1.658632516860962,True
10,0,2.8799662590026855,0.32002490758895874,True
10,1,2.8904902935028076,0.10163873434066772,True
10,2,5.728260040283203,-0.44383955001831055,False
10,3,4.418461799621582,-0.2959657907485962,False
10,4,4.4709153175354,0.4464738070964813,True
11,0,7.030074596405029,0.9597561359405518,True
11,1,10.450403213500977,-0.5498948097229004,False
11,2,5.353536128997803,0.7976464033126831,True
11,3,4.998868465423584,-1.0761635303497314,False
11,4,3.893357753753662,-0.5187228322029114,False
12,0,3.4178168773651123,-1.0943931341171265,False
12,1,5.44406795501709,-0.9606925845146179,False
12,2,7.2970147132873535,-0.9111066460609436,False
12,3,5.344526290893555,-0.697555661201477,False
12,4,15.20864200592041,1.6883163452148438,True
13,0,8.114545822143555,-1.6310734748840332,False
13,1,6.849374771118164,1.3791368007659912,True
13,2,6.984531402587891,1.435288429260254,True
13,3,9.624505996704102,-1.6227446794509888,False
13,4,6.646140098571777,1.3542728424072266,True
14,0,4.097164630889893,0.7885576486587524,True
14,1,0.9235573410987854,0.02305065095424652,True
14,2,3.7132370471954346,0.34506848454475403,True
14,3,8.474926948547363,-0.7311265468597412,False
14,4,3.5731570720672607,0.49614840745925903,True
15,0,12.002785682678223,-1.460798740386963,False
15,1,9.214829444885254,0.8065329194068909,True
15,2,9.92810344696045,1.0258419513702393,True
16,0,3.639556407928467,0.33477234840393066,True
16,1,6.026672840118408,-0.2505725920200348,False
16,2,6.008918762207031,-0.660555362701416,False
16,3,4.96751594543457,-1.1544947624206543,False
16,4,6.910950660705566,0.9893779754638672,True
17,0,2.2799417972564697,-0.6195909380912781,False
17,1,2.4979381561279297,-0.3273072838783264,False
17,2,1.6797195672988892,-0.5001715421676636,False
17,3,2.6109986305236816,0.793928861618042,True
17,4,2.8230206966400146,0.16033726930618286,True
18,0,6.544891357421875,1.2433314323425293,True
18,1,7.727821350097656,-0.9029635190963745,False
18,2,7.718180179595947,1.219038486480713,True
18,3,7.902727127075195,-1.260451316833496,False
19,0,2.72070050239563,-0.25391826033592224,False
19,1,3.267963171005249,0.2285788655281067,True
19,2,6.405723571777344,-1.0693167448043823,False
19,3,2.8264620304107666,0.10318616032600403,True
19,4,8.45616626739502,0.6050568222999573,True
20,0,14.229012489318848,1.227618932723999,True
20,1,4.611176490783691,-0.9717329740524292,False
20,2,8.862126350402832,-1.294662594795227,False
20,3,6.970081806182861,-0.3461225926876068,False
20,4,0.6791830062866211,-0.018256425857543945,False
21,0,6.726431846618652,0.7629492282867432,True
21,1,10.578679084777832,-1.2055543661117554,False
21,2,9.445280075073242,1.1942498683929443,True
21,3,7.070156574249268,-1.4621989727020264,False
22,0,1.5976074934005737,-0.055459052324295044,False
22,1,3.7812745571136475,-0.7673970460891724,False
22,2,2.633406400680542,0.712443470954895,True
22,3,1.7536087036132812,-0.1990572214126587,False
23,0,8.216543197631836,0.8725448846817017,True
23,1,16.849794387817383,-1.3797659873962402,False
23,2,4.193820953369141,-0.8934793472290039,False
23,3,8.088032722473145,0.7635484933853149,True
23,4,7.2772216796875,1.1572074890136719,True
24,0,11.973231315612793,-1.4601399898529053,False
24,1,4.9593658447265625,1.230747103691101,True
24,2,12.812200546264648,1.779126763343811,True
24,3,4.227413177490234,-0.7543076276779175,False
24,4,9.04159164428711,-2.04490327835083,False
25,0,14.629998207092285,-1.555025577545166,False
25,1,7.172415256500244,1.6793298721313477,True
25,2,7.362643241882324,1.732703685760498,True
26,0,6.018661022186279,-0.49326562881469727,False
26,1,0.9312173128128052,0.2741578221321106,True
26,2,7.179596900939941,0.8275157809257507,True
26,3,10.343347549438477,-0.5062425136566162,False
27,0,3.7106897830963135,-0.823993444442749,False
27,1,4.671737194061279,0.7527066469192505,True
27,2,4.1635894775390625,-0.4557218551635742,False
27,3,2.316807746887207,0.3572216033935547,True
27,4,1.5657156705856323,0.2811111509799957,True
28,0,18.35529136657715,-1.718223214149475,False
28,1,6.831781387329102,1.350913405418396,True
28,2,5.338291168212891,1.3022534847259521,True
28,3,5.353414058685303,1.2276442050933838,True
28,4,5.4799933433532715,1.2003262042999268,True
29,0,5.429832935333252,-0.8089205622673035,False
29,1,13.380606651306152,-1.694950819015503,False
29,2,9.85905933380127,2.9641363620758057,True
