model,kind,fpr,mean_tpr,mean_split_auc,n_splits
cellcnn,network,0.234,0.595,0.8075,100
cellcnn,network,0.23600000000000002,0.595,0.8075,100
cellcnn,network,0.23800000000000002,0.595,0.8075,100
cellcnn,network,0.24,0.595,0.8075,100
cellcnn,network,0.242,0.595,0.8075,100
cellcnn,network,0.244,0.595,0.8075,100
cellcnn,network,0.246,0.595,0.8075,100
cellcnn,network,0.248,0.595,0.8075,100
cellcnn,network,0.25,0.785,0.8075,100
cellcnn,network,0.252,0.785,0.8075,100
cellcnn,network,0.254,0.785,0.8075,100
cellcnn,network,0.256,0.785,0.8075,100
cellcnn,network,0.258,0.785,0.8075,100
cellcnn,network,0.26,0.785,0.8075,100
cellcnn,network,0.262,0.785,0.8075,100
cellcnn,network,0.264,0.785,0.8075,100
cellcnn,network,0.266,0.785,0.8075,100
cellcnn,network,0.268,0.785,0.8075,100
cellcnn,network,0.27,0.785,0.8075,100
cellcnn,network,0.272,0.785,0.8075,100
cellcnn,network,0.274,0.785,0.8075,100
cellcnn,network,0.276,0.785,0.8075,100
cellcnn,network,0.278,0.785,0.8075,100
cellcnn,network,0.28,0.785,0.8075,100
cellcnn,network,0.28200000000000003,0.785,0.8075,100
cellcnn,network,0.28400000000000003,0.785,0.8075,100
cellcnn,network,0.28600000000000003,0.785,0.8075,100
cellcnn,network,0.28800000000000003,0.785,0.8075,100
cellcnn,network,0.29,0.785,0.8075,100
cellcnn,network,0.292,0.785,0.8075,100
cellcnn,network,0.294,0.785,0.8075,100
cellcnn,network,0.296,0.785,0.8075,100
cellcnn,network,0.298,0.785,0.8075,100
cellcnn,network,0.3,0.785,0.8075,100
cellcnn,network,0.302,0.785,0.8075,100
cellcnn,network,0.304,0.785,0.8075,100
cellcnn,network,0.306,0.785,0.8075,100
cellcnn,network,0.308,0.785,0.8075,100
cellcnn,network,0.31,0.785,0.8075,100
cellcnn,network,0.312,0.785,0.8075,100
cellcnn,network,0.314,0.785,0.8075,100
cellcnn,network,0.316,0.785,0.8075,100
cellcnn,network,0.318,0.785,0.8075,100
cellcnn,network,0.32,0.785,0.8075,100
cellcnn,network,0.322,0.785,0.8075,100
cellcnn,network,0.324,0.785,0.8075,100
cellcnn,network,0.326,0.785,0.8075,100
cellcnn,network,0.328,0.785,0.8075,100
cellcnn,network,0.33,0.785,0.8075,100
cellcnn,network,0.332,0.785,0.8075,100
cellcnn,network,0.334,0.785,0.8075,100
cellcnn,network,0.336,0.785,0.8075,100
cellcnn,network,0.338,0.785,0.8075,100
cellcnn,network,0.34,0.785,0.8075,100
cellcnn,network,0.342,0.785,0.8075,100
cellcnn,network,0.34400000000000003,0.785,0.8075,100
cellcnn,network,0.34600000000000003,0.785,0.8075,100
cellcnn,network,0.34800000000000003,0.785,0.8075,100
cellcnn,network,0.35000000000000003,0.785,0.8075,100
cellcnn,network,0.352,0.785,0.8075,100
cellcnn,network,0.354,0.785,0.8075,100
cellcnn,network,0.356,0.785,0.8075,100
cellcnn,network,0.358,0.785,0.8075,100
cellcnn,network,0.36,0.785,0.8075,100
cellcnn,network,0.362,0.785,0.8075,100
cellcnn,network,0.364,0.785,0.8075,100
cellcnn,network,0.366,0.785,0.8075,100
cellcnn,network,0.368,0.785,0.8075,100
cellcnn,network,0.37,0.785,0.8075,100
cellcnn,network,0.372,0.785,0.8075,100
cellcnn,network,0.374,0.785,0.8075,100
cellcnn,network,0.376,0.785,0.8075,100
cellcnn,network,0.378,0.785,0.8075,100
cellcnn,network,0.38,0.785,0.8075,100
cellcnn,network,0.382,0.785,0.8075,100
cellcnn,network,0.384,0.785,0.8075,100
cellcnn,network,0.386,0.785,0.8075,100
cellcnn,network,0.388,0.785,0.8075,100
cellcnn,network,0.39,0.785,0.8075,100
cellcnn,network,0.392,0.785,0.8075,100
cellcnn,network,0.394,0.785,0.8075,100
cellcnn,network,0.396,0.785,0.8075,100
cellcnn,network,0.398,0.785,0.8075,100
cellcnn,network,0.4,0.785,0.8075,100
cellcnn,network,0.402,0.785,0.8075,100
cellcnn,network,0.404,0.785,0.8075,100
cellcnn,network,0.406,0.785,0.8075,100
cellcnn,network,0.40800000000000003,0.785,0.8075,100
cellcnn,network,0.41000000000000003,0.785,0.8075,100
cellcnn,network,0.41200000000000003,0.785,0.8075,100
cellcnn,network,0.41400000000000003,0.785,0.8075,100
cellcnn,network,0.41600000000000004,0.785,0.8075,100
cellcnn,network,0.418,0.785,0.8075,100
cellcnn,network,0.42,0.785,0.8075,100
cellcnn,network,0.422,0.785,0.8075,100
cellcnn,network,0.424,0.785,0.8075,100
cellcnn,network,0.426,0.785,0.8075,100
cellcnn,network,0.428,0.785,0.8075,100
cellcnn,network,0.43,0.785,0.8075,100
cellcnn,network,0.432,0.785,0.8075,100
cellcnn,network,0.434,0.785,0.8075,100
cellcnn,network,0.436,0.785,0.8075,100
cellcnn,network,0.438,0.785,0.8075,100
cellcnn,network,0.44,0.785,0.8075,100
cellcnn,network,0.442,0.785,0.8075,100
cellcnn,network,0.444,0.785,0.8075,100
cellcnn,network,0.446,0.785,0.8075,100
cellcnn,network,0.448,0.785,0.8075,100
cellcnn,network,0.45,0.785,0.8075,100
cellcnn,network,0.452,0.785,0.8075,100
cellcnn,network,0.454,0.785,0.8075,100
cellcnn,network,0.456,0.785,0.8075,100
cellcnn,network,0.458,0.785,0.8075,100
cellcnn,network,0.46,0.785,0.8075,100
cellcnn,network,0.462,0.785,0.8075,100
cellcnn,network,0.464,0.785,0.8075,100
cellcnn,network,0.466,0.785,0.8075,100
cellcnn,network,0.468,0.785,0.8075,100
cellcnn,network,0.47000000000000003,0.785,0.8075,100
cellcnn,network,0.47200000000000003,0.785,0.8075,100
cellcnn,network,0.47400000000000003,0.785,0.8075,100
cellcnn,network,0.47600000000000003,0.785,0.8075,100
cellcnn,network,0.47800000000000004,0.785,0.8075,100
cellcnn,network,0.48,0.785,0.8075,100
cellcnn,network,0.482,0.785,0.8075,100
cellcnn,network,0.484,0.785,0.8075,100
cellcnn,network,0.486,0.785,0.8075,100
cellcnn,network,0.488,0.785,0.8075,100
cellcnn,network,0.49,0.785,0.8075,100
cellcnn,network,0.492,0.785,0.8075,100
cellcnn,network,0.494,0.785,0.8075,100
cellcnn,network,0.496,0.785,0.8075,100
cellcnn,network,0.498,0.785,0.8075,100
cellcnn,network,0.5,0.885,0.8075,100
cellcnn,network,0.502,0.885,0.8075,100
cellcnn,network,0.504,0.885,0.8075,100
cellcnn,network,0.506,0.885,0.8075,100
cellcnn,network,0.508,0.885,0.8075,100
cellcnn,network,0.51,0.885,0.8075,100
cellcnn,network,0.512,0.885,0.8075,100
cellcnn,network,0.514,0.885,0.8075,100
cellcnn,network,0.516,0.885,0.8075,100
cellcnn,network,0.518,0.885,0.8075,100
cellcnn,network,0.52,0.885,0.8075,100
cellcnn,network,0.522,0.885,0.8075,100
cellcnn,network,0.524,0.885,0.8075,100
cellcnn,network,0.526,0.885,0.8075,100
cellcnn,network,0.528,0.885,0.8075,100
cellcnn,network,0.53,0.885,0.8075,100
cellcnn,network,0.532,0.885,0.8075,100
cellcnn,network,0.534,0.885,0.8075,100
cellcnn,network,0.536,0.885,0.8075,100
cellcnn,network,0.538,0.885,0.8075,100
cellcnn,network,0.54,0.885,0.8075,100
cellcnn,network,0.542,0.885,0.8075,100
cellcnn,network,0.544,0.885,0.8075,100
cellcnn,network,0.546,0.885,0.8075,100
cellcnn,network,0.548,0.885,0.8075,100
cellcnn,network,0.55,0.885,0.8075,100
cellcnn,network,0.552,0.885,0.8075,100
cellcnn,network,0.554,0.885,0.8075,100
cellcnn,network,0.556,0.885,0.8075,100
cellcnn,network,0.558,0.885,0.8075,100
cellcnn,network,0.56,0.885,0.8075,100
cellcnn,network,0.562,0.885,0.8075,100
cellcnn,network,0.5640000000000001,0.885,0.8075,100
cellcnn,network,0.5660000000000001,0.885,0.8075,100
cellcnn,network,0.5680000000000001,0.885,0.8075,100
cellcnn,network,0.5700000000000001,0.885,0.8075,100
cellcnn,network,0.5720000000000001,0.885,0.8075,100
cellcnn,network,0.5740000000000001,0.885,0.8075,100
cellcnn,network,0.5760000000000001,0.885,0.8075,100
cellcnn,network,0.578,0.885,0.8075,100
cellcnn,network,0.58,0.885,0.8075,100
cellcnn,network,0.582,0.885,0.8075,100
cellcnn,network,0.584,0.885,0.8075,100
cellcnn,network,0.586,0.885,0.8075,100
cellcnn,network,0.588,0.885,0.8075,100
cellcnn,network,0.59,0.885,0.8075,100
cellcnn,network,0.592,0.885,0.8075,100
cellcnn,network,0.594,0.885,0.8075,100
cellcnn,network,0.596,0.885,0.8075,100
cellcnn,network,0.598,0.885,0.8075,100
cellcnn,network,0.6,0.885,0.8075,100
cellcnn,network,0.602,0.885,0.8075,100
cellcnn,network,0.604,0.885,0.8075,100
cellcnn,network,0.606,0.885,0.8075,100
cellcnn,network,0.608,0.885,0.8075,100
cellcnn,network,0.61,0.885,0.8075,100
cellcnn,network,0.612,0.885,0.8075,100
cellcnn,network,0.614,0.885,0.8075,100
cellcnn,network,0.616,0.885,0.8075,100
cellcnn,network,0.618,0.885,0.8075,100
cellcnn,network,0.62,0.885,0.8075,100
cellcnn,network,0.622,0.885,0.8075,100
cellcnn,network,0.624,0.885,0.8075,100
cellcnn,network,0.626,0.885,0.8075,100
cellcnn,network,0.628,0.885,0.8075,100
cellcnn,network,0.63,0.885,0.8075,100
cellcnn,network,0.632,0.885,0.8075,100
cellcnn,network,0.634,0.885,0.8075,100
cellcnn,network,0.636,0.885,0.8075,100
cellcnn,network,0.638,0.885,0.8075,100
cellcnn,network,0.64,0.885,0.8075,100
cellcnn,network,0.642,0.885,0.8075,100
cellcnn,network,0.644,0.885,0.8075,100
cellcnn,network,0.646,0.885,0.8075,100
cellcnn,network,0.648,0.885,0.8075,100
cellcnn,network,0.65,0.885,0.8075,100
cellcnn,network,0.652,0.885,0.8075,100
cellcnn,network,0.654,0.885,0.8075,100
cellcnn,network,0.656,0.885,0.8075,100
cellcnn,network,0.658,0.885,0.8075,100
cellcnn,network,0.66,0.885,0.8075,100
cellcnn,network,0.662,0.885,0.8075,100
cellcnn,network,0.664,0.885,0.8075,100
cellcnn,network,0.666,0.885,0.8075,100
cellcnn,network,0.668,0.885,0.8075,100
cellcnn,network,0.67,0.885,0.8075,100
cellcnn,network,0.672,0.885,0.8075,100
cellcnn,network,0.674,0.885,0.8075,100
cellcnn,network,0.676,0.885,0.8075,100
cellcnn,network,0.678,0.885,0.8075,100
cellcnn,network,0.68,0.885,0.8075,100
cellcnn,network,0.682,0.885,0.8075,100
cellcnn,network,0.684,0.885,0.8075,100
cellcnn,network,0.686,0.885,0.8075,100
cellcnn,network,0.6880000000000001,0.885,0.8075,100
cellcnn,network,0.6900000000000001,0.885,0.8075,100
cellcnn,network,0.6920000000000001,0.885,0.8075,100
cellcnn,network,0.6940000000000001,0.885,0.8075,100
cellcnn,network,0.6960000000000001,0.885,0.8075,100
cellcnn,network,0.6980000000000001,0.885,0.8075,100
cellcnn,network,0.7000000000000001,0.885,0.8075,100
cellcnn,network,0.7020000000000001,0.885,0.8075,100
cellcnn,network,0.704,0.885,0.8075,100
cellcnn,network,0.706,0.885,0.8075,100
cellcnn,network,0.708,0.885,0.8075,100
cellcnn,network,0.71,0.885,0.8075,100
cellcnn,network,0.712,0.885,0.8075,100
cellcnn,network,0.714,0.885,0.8075,100
cellcnn,network,0.716,0.885,0.8075,100
cellcnn,network,0.718,0.885,0.8075,100
cellcnn,network,0.72,0.885,0.8075,100
cellcnn,network,0.722,0.885,0.8075,100
cellcnn,network,0.724,0.885,0.8075,100
cellcnn,network,0.726,0.885,0.8075,100
cellcnn,network,0.728,0.885,0.8075,100
cellcnn,network,0.73,0.885,0.8075,100
cellcnn,network,0.732,0.885,0.8075,100
cellcnn,network,0.734,0.885,0.8075,100
cellcnn,network,0.736,0.885,0.8075,100
cellcnn,network,0.738,0.885,0.8075,100
cellcnn,network,0.74,0.885,0.8075,100
cellcnn,network,0.742,0.885,0.8075,100
cellcnn,network,0.744,0.885,0.8075,100
cellcnn,network,0.746,0.885,0.8075,100
cellcnn,network,0.748,0.885,0.8075,100
cellcnn,network,0.75,0.965,0.8075,100
cellcnn,network,0.752,0.965,0.8075,100
cellcnn,network,0.754,0.965,0.8075,100
cellcnn,network,0.756,0.965,0.8075,100
cellcnn,network,0.758,0.965,0.8075,100
cellcnn,network,0.76,0.965,0.8075,100
cellcnn,network,0.762,0.965,0.8075,100
cellcnn,network,0.764,0.965,0.8075,100
cellcnn,network,0.766,0.965,0.8075,100
cellcnn,network,0.768,0.965,0.8075,100
cellcnn,network,0.77,0.965,0.8075,100
cellcnn,network,0.772,0.965,0.8075,100
cellcnn,network,0.774,0.965,0.8075,100
cellcnn,network,0.776,0.965,0.8075,100
cellcnn,network,0.778,0.965,0.8075,100
cellcnn,network,0.78,0.965,0.8075,100
cellcnn,network,0.782,0.965,0.8075,100
cellcnn,network,0.784,0.965,0.8075,100
cellcnn,network,0.786,0.965,0.8075,100
cellcnn,network,0.788,0.965,0.8075,100
cellcnn,network,0.79,0.965,0.8075,100
cellcnn,network,0.792,0.965,0.8075,100
cellcnn,network,0.794,0.965,0.8075,100
cellcnn,network,0.796,0.965,0.8075,100
cellcnn,network,0.798,0.965,0.8075,100
cellcnn,network,0.8,0.965,0.8075,100
cellcnn,network,0.802,0.965,0.8075,100
cellcnn,network,0.804,0.965,0.8075,100
cellcnn,network,0.806,0.965,0.8075,100
cellcnn,network,0.808,0.965,0.8075,100
cellcnn,network,0.81,0.965,0.8075,100
cellcnn,network,0.812,0.965,0.8075,100
