split_id,network_auc,average_precision,balanced_accuracy,frequency_auc,frequency_effect,phenotype_available,model,common_frequency_split
15,0.875,0.8333333333333333,0.75,1.0,0.0031875,True,quadratic_top1,True
16,1.0,1.0,0.75,0.75,0.0068625,True,quadratic_top1,True
17,0.75,0.75,0.625,0.6875,0.001425,True,quadratic_top1,True
18,1.0,1.0,1.0,1.0,0.01225,True,quadratic_top1,True
19,0.875,0.8333333333333333,0.75,1.0,0.0063750000000000005,True,quadratic_top1,True
20,0.875,0.8333333333333333,0.75,1.0,0.0027875,True,quadratic_top1,True
21,1.0,1.0,1.0,1.0,0.0040750000000000005,True,quadratic_top1,True
22,0.375,0.3666666666666667,0.5,0.875,0.0010375,True,quadratic_top1,True
23,1.0,1.0,1.0,0.625,0.0014,True,quadratic_top1,True
24,1.0,1.0,1.0,1.0,0.015087499999999998,True,quadratic_top1,True
25,1.0,1.0,1.0,0.875,0.0007624999999999999,True,quadratic_top1,True
26,1.0,1.0,0.875,0.875,0.0037625,True,quadratic_top1,True
27,1.0,1.0,0.75,0.75,0.009062500000000001,True,quadratic_top1,True
28,1.0,1.0,1.0,1.0,0.00945,True,quadratic_top1,True
29,1.0,1.0,1.0,1.0,0.0096625,True,quadratic_top1,True
30,1.0,1.0,1.0,1.0,0.0036375,True,quadratic_top1,True
31,0.75,0.5833333333333333,0.5,0.0,-0.000175,True,quadratic_top1,True
32,1.0,1.0,0.875,0.875,0.0039375,True,quadratic_top1,True
33,0.875,0.8333333333333333,0.625,1.0,0.0009875,True,quadratic_top1,True
34,1.0,1.0,1.0,1.0,0.0094875,True,quadratic_top1,True
35,1.0,1.0,1.0,1.0,0.010275,True,quadratic_top1,True
36,0.75,0.75,0.75,1.0,0.0056125,True,quadratic_top1,True
37,1.0,1.0,1.0,1.0,0.003025,True,quadratic_top1,True
38,1.0,1.0,1.0,1.0,0.02035,True,quadratic_top1,True
39,0.875,0.8333333333333333,0.875,0.625,0.0024375,True,quadratic_top1,True
40,0.625,0.7,0.5,0.625,0.000675,True,quadratic_top1,True
41,1.0,1.0,0.75,0.6875,0.0019125000000000001,True,quadratic_top1,True
42,0.875,0.8333333333333333,0.75,0.875,0.0007375000000000001,True,quadratic_top1,True
43,1.0,1.0,1.0,0.75,0.008175,True,quadratic_top1,True
44,1.0,1.0,1.0,1.0,0.0120625,True,quadratic_top1,False
45,1.0,1.0,0.75,1.0,0.012887499999999998,True,quadratic_top1,True
46,0.875,0.8333333333333333,0.625,0.8125,7.500000000000002e-05,True,quadratic_top1,True
47,0.875,0.8333333333333333,0.75,1.0,0.007712499999999999,True,quadratic_top1,True
48,1.0,1.0,0.5,0.8125,0.0044875,True,quadratic_top1,True
49,0.75,0.75,0.75,0.6875,0.0014375,True,quadratic_top1,True
50,0.75,0.75,0.5,0.6875,0.001075,True,quadratic_top1,True
51,1.0,1.0,0.875,1.0,0.0133625,True,quadratic_top1,True
52,1.0,1.0,0.75,0.625,0.00015000000000000001,True,quadratic_top1,True
53,1.0,1.0,1.0,0.875,0.007899999999999999,True,quadratic_top1,True
54,0.875,0.8333333333333333,0.875,0.75,0.000125,True,quadratic_top1,True
55,1.0,1.0,1.0,1.0,0.00605,True,quadratic_top1,True
56,1.0,1.0,0.875,0.875,0.00845,True,quadratic_top1,True
57,0.875,0.8333333333333333,0.625,0.625,0.0024375,True,quadratic_top1,True
58,1.0,1.0,1.0,1.0,0.0092,True,quadratic_top1,True
59,1.0,1.0,0.875,0.875,0.000325,True,quadratic_top1,True
60,0.75,0.75,0.5,1.0,0.0158375,True,quadratic_top1,True
61,0.75,0.75,0.75,1.0,0.0047374999999999995,True,quadratic_top1,True
62,0.75,0.75,0.625,1.0,0.009174999999999999,True,quadratic_top1,True
63,1.0,1.0,0.75,1.0,0.00165,True,quadratic_top1,True
64,1.0,1.0,0.875,1.0,0.0043875,True,quadratic_top1,True
65,1.0,1.0,1.0,1.0,0.01645,True,quadratic_top1,True
66,0.75,0.5833333333333333,0.375,0.5,-0.000225,True,quadratic_top1,True
67,1.0,1.0,0.75,1.0,0.009224999999999999,True,quadratic_top1,True
68,1.0,1.0,1.0,1.0,0.0083875,True,quadratic_top1,True
69,0.75,0.5833333333333333,0.625,0.75,3.7500000000000003e-05,True,quadratic_top1,True
70,1.0,1.0,1.0,0.875,0.0044875,True,quadratic_top1,True
71,1.0,1.0,0.75,0.8125,0.004050000000000001,True,quadratic_top1,True
72,1.0,1.0,1.0,1.0,0.008375,True,quadratic_top1,True
73,0.875,0.8333333333333333,0.625,0.6875,0.0049375,True,quadratic_top1,True
74,0.75,0.75,0.625,0.75,0.0002999999999999999,True,quadratic_top1,True
75,0.625,0.7,0.625,0.5,0.0060625,True,quadratic_top1,True
76,1.0,1.0,0.75,1.0,0.0111375,True,quadratic_top1,True
77,1.0,1.0,0.75,1.0,0.0034125,True,quadratic_top1,True
78,1.0,1.0,1.0,1.0,0.0051125,True,quadratic_top1,True
79,1.0,1.0,1.0,1.0,0.015225,True,quadratic_top1,True
80,1.0,1.0,0.75,0.875,0.005537500000000001,True,quadratic_top1,True
81,1.0,1.0,1.0,0.875,0.0084875,True,quadratic_top1,True
82,1.0,1.0,0.875,1.0,0.013125000000000001,True,quadratic_top1,True
83,1.0,1.0,1.0,0.75,0.0053124999999999995,True,quadratic_top1,True
84,0.5,0.6666666666666666,0.5,1.0,5e-05,True,quadratic_top1,False
85,1.0,1.0,0.875,1.0,0.010700000000000001,True,quadratic_top1,True
86,1.0,1.0,1.0,1.0,0.007775,True,quadratic_top1,True
87,0.375,0.41666666666666663,0.375,0.6875,8.75e-05,True,quadratic_top1,True
88,1.0,1.0,0.5,0.6875,0.0007625000000000002,True,quadratic_top1,True
89,0.75,0.75,0.625,1.0,0.0091,True,quadratic_top1,True
90,1.0,1.0,0.875,0.875,0.0018375,True,quadratic_top1,True
91,0.875,0.8333333333333333,0.75,0.875,0.0058874999999999995,True,quadratic_top1,True
92,1.0,1.0,0.875,1.0,0.008925,True,quadratic_top1,True
93,1.0,1.0,0.875,0.5,0.0016124999999999998,True,quadratic_top1,True
94,1.0,1.0,1.0,1.0,0.0044125,True,quadratic_top1,True
95,1.0,1.0,1.0,1.0,0.0100625,True,quadratic_top1,True
96,0.625,0.7,0.75,0.5625,8.750000000000001e-05,True,quadratic_top1,True
97,0.625,0.7,0.375,0.6875,0.0011625,True,quadratic_top1,True
98,1.0,1.0,0.875,1.0,0.0085625,True,quadratic_top1,True
99,1.0,1.0,0.875,0.75,0.009925,True,quadratic_top1,True
0,1.0,1.0,1.0,1.0,0.0075375,True,quadratic_soft,True
1,1.0,1.0,1.0,1.0,0.0074624999999999995,True,quadratic_soft,True
2,1.0,1.0,0.75,0.6875,0.004599999999999999,True,quadratic_soft,True
3,1.0,1.0,1.0,1.0,0.012225,True,quadratic_soft,True
4,1.0,1.0,1.0,0.875,0.0008624999999999999,True,quadratic_soft,True
5,1.0,1.0,1.0,1.0,0.0138125,True,quadratic_soft,True
6,0.875,0.8333333333333333,0.625,0.5,0.0040125000000000004,True,quadratic_soft,True
7,0.75,0.5833333333333333,0.75,0.25,-5e-05,True,quadratic_soft,True
8,0.875,0.8333333333333333,0.75,0.75,0.0043749999999999995,True,quadratic_soft,True
9,1.0,1.0,1.0,0.75,0.0011874999999999998,True,quadratic_soft,True
10,1.0,1.0,0.75,0.875,0.0064,True,quadratic_soft,True
11,1.0,1.0,0.5,1.0,0.0004,True,quadratic_soft,True
12,0.75,0.75,0.5,0.5625,0.00155,True,quadratic_soft,True
13,0.875,0.8333333333333333,0.625,1.0,0.008249999999999999,True,quadratic_soft,True
14,1.0,1.0,1.0,1.0,0.0067,True,quadratic_soft,True
15,1.0,1.0,0.75,1.0,0.003575,True,quadratic_soft,True
16,1.0,1.0,0.75,0.625,0.006725,True,quadratic_soft,True
17,0.75,0.75,0.625,0.6875,0.0005874999999999999,True,quadratic_soft,True
18,1.0,1.0,1.0,1.0,0.013962500000000001,True,quadratic_soft,True
19,0.75,0.75,0.75,1.0,0.0063625,True,quadratic_soft,True
20,0.75,0.75,0.75,1.0,0.0027624999999999998,True,quadratic_soft,True
21,1.0,1.0,1.0,1.0,0.0039,True,quadratic_soft,True
22,0.375,0.3666666666666667,0.5,0.875,0.0013375,True,quadratic_soft,True
23,1.0,1.0,1.0,0.8125,0.0005499999999999999,True,quadratic_soft,True
24,1.0,1.0,0.875,1.0,0.01585,True,quadratic_soft,True
25,1.0,1.0,1.0,0.875,0.0008500000000000001,True,quadratic_soft,True
26,1.0,1.0,0.875,0.875,0.00375,True,quadratic_soft,True
27,1.0,1.0,0.75,0.75,0.0091125,True,quadratic_soft,True
28,1.0,1.0,1.0,1.0,0.0095125,True,quadratic_soft,True
29,1.0,1.0,1.0,1.0,0.009825,True,quadratic_soft,True
30,1.0,1.0,1.0,1.0,0.003675,True,quadratic_soft,True
31,0.75,0.5833333333333333,0.5,0.0,-0.000175,True,quadratic_soft,True
32,1.0,1.0,0.875,0.875,0.004049999999999999,True,quadratic_soft,True
33,0.875,0.8333333333333333,0.625,1.0,0.0011250000000000001,True,quadratic_soft,True
34,1.0,1.0,1.0,1.0,0.0095,True,quadratic_soft,True
35,1.0,1.0,1.0,1.0,0.0100625,True,quadratic_soft,True
36,0.75,0.75,0.625,1.0,0.0053750000000000004,True,quadratic_soft,True
37,1.0,1.0,0.875,1.0,0.003175,True,quadratic_soft,True
38,1.0,1.0,1.0,1.0,0.017912499999999998,True,quadratic_soft,True
39,1.0,1.0,0.875,0.6875,0.0026875000000000002,True,quadratic_soft,True
40,0.625,0.7,0.5,0.5625,0.000375,True,quadratic_soft,True
41,0.875,0.8333333333333333,0.75,0.875,0.0017000000000000001,True,quadratic_soft,True
42,0.875,0.8333333333333333,0.75,0.875,0.0009750000000000001,True,quadratic_soft,True
43,1.0,1.0,1.0,0.75,0.0081625,True,quadratic_soft,True
44,1.0,1.0,1.0,1.0,0.0121875,True,quadratic_soft,False
45,1.0,1.0,0.75,1.0,0.0127625,True,quadratic_soft,True
46,0.875,0.8333333333333333,0.625,0.8125,0.0001,True,quadratic_soft,True
47,0.875,0.8333333333333333,0.75,1.0,0.006762499999999999,True,quadratic_soft,True
48,1.0,1.0,0.5,0.875,0.0046500000000000005,True,quadratic_soft,True
49,0.75,0.75,0.75,0.6875,0.001625,True,quadratic_soft,True
50,0.75,0.75,0.5,0.6875,0.0010249999999999999,True,quadratic_soft,True
51,1.0,1.0,0.75,1.0,0.0135625,True,quadratic_soft,True
52,1.0,1.0,0.75,0.9375,0.0021125,True,quadratic_soft,True
53,1.0,1.0,1.0,0.875,0.0077624999999999994,True,quadratic_soft,True
54,0.875,0.8333333333333333,0.625,0.5625,0.000375,True,quadratic_soft,True
55,1.0,1.0,1.0,1.0,0.006987500000000001,True,quadratic_soft,True
56,0.875,0.8333333333333333,0.875,0.875,0.008424999999999998,True,quadratic_soft,True
57,0.875,0.8333333333333333,0.625,0.6875,0.0028875000000000003,True,quadratic_soft,True
58,1.0,1.0,1.0,1.0,0.007237499999999999,True,quadratic_soft,True
59,1.0,1.0,1.0,1.0,0.00035000000000000005,True,quadratic_soft,True
60,0.75,0.75,0.5,0.75,0.0007500000000000001,True,quadratic_soft,True
61,0.75,0.75,0.75,1.0,0.004662499999999999,True,quadratic_soft,True
62,0.75,0.75,0.5,1.0,0.0059499999999999996,True,quadratic_soft,True
63,1.0,1.0,0.75,1.0,0.001675,True,quadratic_soft,True
64,1.0,1.0,0.875,1.0,0.0050125,True,quadratic_soft,True
65,1.0,1.0,1.0,1.0,0.0078375,True,quadratic_soft,True
66,0.75,0.5833333333333333,0.375,0.5,-0.00025,True,quadratic_soft,True
67,1.0,1.0,0.75,1.0,0.007549999999999999,True,quadratic_soft,True
68,1.0,1.0,1.0,1.0,0.00655,True,quadratic_soft,True
69,0.875,0.8333333333333333,0.625,0.75,3.7500000000000003e-05,True,quadratic_soft,True
70,1.0,1.0,0.75,0.75,0.004675,True,quadratic_soft,True
71,1.0,1.0,0.75,0.8125,0.00395,True,quadratic_soft,True
72,1.0,1.0,1.0,1.0,0.008324999999999999,True,quadratic_soft,True
73,0.875,0.8333333333333333,0.625,0.75,0.004762499999999999,True,quadratic_soft,True
74,0.875,0.8333333333333333,0.75,0.625,9.999999999999994e-05,True,quadratic_soft,True
75,0.625,0.7,0.625,0.5,0.0059,True,quadratic_soft,True
76,1.0,1.0,0.75,1.0,0.0113125,True,quadratic_soft,True
77,1.0,1.0,0.75,1.0,0.0033125000000000003,True,quadratic_soft,True
78,1.0,1.0,1.0,1.0,0.004762499999999999,True,quadratic_soft,True
79,1.0,1.0,1.0,1.0,0.015125000000000001,True,quadratic_soft,True
80,1.0,1.0,0.75,0.875,0.0055875000000000005,True,quadratic_soft,True
81,1.0,1.0,0.875,0.875,0.008812500000000001,True,quadratic_soft,True
82,1.0,1.0,0.875,1.0,0.012825,True,quadratic_soft,True
83,1.0,1.0,1.0,0.75,0.0054125,True,quadratic_soft,True
84,0.5,0.6666666666666666,0.5,0.8125,0.00023750000000000003,True,quadratic_soft,False
85,1.0,1.0,0.75,1.0,0.009300000000000001,True,quadratic_soft,True
86,1.0,1.0,1.0,1.0,0.007637499999999999,True,quadratic_soft,True
87,0.375,0.41666666666666663,0.375,0.6875,8.75e-05,True,quadratic_soft,True
88,1.0,1.0,0.5,0.6875,0.0007250000000000001,True,quadratic_soft,True
89,0.75,0.75,0.625,1.0,0.0090375,True,quadratic_soft,True
90,0.875,0.8333333333333333,0.875,0.875,0.0019250000000000003,True,quadratic_soft,True
91,0.875,0.8333333333333333,0.75,0.875,0.005975,True,quadratic_soft,True
92,1.0,1.0,0.875,1.0,0.0084625,True,quadratic_soft,True
93,1.0,1.0,0.875,0.5,0.0015999999999999999,True,quadratic_soft,True
94,1.0,1.0,1.0,1.0,0.0046125,True,quadratic_soft,True
95,1.0,1.0,1.0,1.0,0.0081125,True,quadratic_soft,True
96,0.625,0.7,0.75,0.5625,7.499999999999998e-05,True,quadratic_soft,True
97,0.625,0.7,0.375,0.625,0.0014624999999999998,True,quadratic_soft,True
98,1.0,1.0,0.875,1.0,0.0084,True,quadratic_soft,True
99,1.0,1.0,1.0,0.75,0.00915,True,quadratic_soft,True
0,0.75,0.75,0.75,0.625,0.0025125,True,prototype_soft,True
1,1.0,1.0,1.0,0.75,0.0019000000000000002,True,prototype_soft,True
2,0.75,0.5833333333333333,0.625,0.75,0.0006125,True,prototype_soft,True
3,0.25,0.325,0.125,0.875,0.005175000000000001,True,prototype_soft,True
4,0.5,0.41666666666666663,0.75,0.75,0.00043749999999999995,True,prototype_soft,True
5,0.625,0.5,0.75,1.0,0.0095625,True,prototype_soft,True
6,0.75,0.75,0.5,0.875,0.0056500000000000005,True,prototype_soft,True
7,0.625,0.5,0.625,0.75,0.0004249999999999998,True,prototype_soft,True
8,1.0,1.0,0.875,1.0,0.003325,True,prototype_soft,True
9,0.75,0.5833333333333333,0.75,0.625,0.002724999999999999,True,prototype_soft,True
10,0.75,0.75,0.5,0.75,0.005475000000000001,True,prototype_soft,True
11,0.875,0.8333333333333333,0.625,1.0,0.020525,True,prototype_soft,True
12,0.625,0.5,0.75,0.5625,-0.0003874999999999998,True,prototype_soft,True
13,0.875,0.8333333333333333,0.875,1.0,0.007412499999999999,True,prototype_soft,True
14,0.625,0.5,0.5,0.5,0.0,True,prototype_soft,True
15,0.75,0.75,0.5,0.5,-0.0009625000000000001,True,prototype_soft,True
16,0.875,0.8333333333333333,0.875,0.6875,0.00023750000000000005,True,prototype_soft,True
17,0.75,0.75,0.625,0.75,0.009112499999999999,True,prototype_soft,True
18,0.875,0.8333333333333333,0.625,0.875,0.0008875,True,prototype_soft,True
19,1.0,1.0,0.75,0.25,-0.003425,True,prototype_soft,True
20,0.875,0.8333333333333333,0.625,0.75,0.0017375000000000003,True,prototype_soft,True
21,0.25,0.325,0.375,0.625,0.003712499999999999,True,prototype_soft,True
22,1.0,1.0,1.0,1.0,0.019325000000000002,True,prototype_soft,True
23,0.5,0.45,0.625,0.5,-0.0016875000000000015,True,prototype_soft,True
24,0.75,0.75,0.625,0.5,0.0009375,True,prototype_soft,True
25,0.5,0.45,0.375,0.875,0.000175,True,prototype_soft,True
26,0.875,0.8333333333333333,0.625,0.75,0.0009249999999999999,True,prototype_soft,True
27,0.875,0.8333333333333333,0.625,1.0,0.0079625,True,prototype_soft,True
28,0.75,0.75,0.5,0.5625,0.0012125,True,prototype_soft,True
29,1.0,1.0,1.0,1.0,0.0123375,True,prototype_soft,True
30,1.0,1.0,1.0,1.0,0.009174999999999999,True,prototype_soft,True
31,0.625,0.5,0.375,0.625,8.750000000000001e-05,True,prototype_soft,True
32,0.875,0.8333333333333333,0.75,0.875,0.0051,True,prototype_soft,True
33,0.5,0.41666666666666663,0.75,0.875,0.001175,True,prototype_soft,True
34,0.75,0.75,0.625,0.75,0.0026249999999999997,True,prototype_soft,True
35,0.875,0.8333333333333333,0.875,0.6875,0.0007624999999999999,True,prototype_soft,True
36,0.625,0.5,0.625,0.75,0.007324999999999998,True,prototype_soft,True
37,0.5,0.6666666666666666,0.75,0.25,-0.00015000000000000001,True,prototype_soft,True
38,1.0,1.0,1.0,1.0,0.0050999999999999995,True,prototype_soft,True
39,0.75,0.75,0.75,0.5,0.0028125,True,prototype_soft,True
40,0.0,0.26666666666666666,0.25,0.0,-0.000725,True,prototype_soft,True
41,0.5,0.6666666666666666,0.75,0.5,-0.0015874999999999997,True,prototype_soft,True
42,0.25,0.3333333333333333,0.25,0.5,2.499999999999985e-05,True,prototype_soft,True
43,0.875,0.8333333333333333,0.75,0.875,0.007475,True,prototype_soft,True
44,1.0,1.0,0.875,1.0,0.030975000000000003,True,prototype_soft,False
45,0.25,0.325,0.375,0.5,-6.249999999999999e-05,True,prototype_soft,True
46,0.75,0.5833333333333333,0.625,0.4375,-3.7500000000000003e-05,True,prototype_soft,True
47,0.75,0.75,0.625,0.75,0.003299999999999999,True,prototype_soft,True
48,0.875,0.8333333333333333,0.5,0.375,-8.75e-05,True,prototype_soft,True
49,0.5,0.45,0.375,0.75,0.0013874999999999998,True,prototype_soft,True
50,0.625,0.7,0.5,0.5,0.0,True,prototype_soft,True
51,1.0,1.0,0.875,1.0,0.0023375,True,prototype_soft,True
52,1.0,1.0,0.75,0.9375,0.0013875,True,prototype_soft,True
53,1.0,1.0,0.75,1.0,0.01175,True,prototype_soft,True
54,0.75,0.5833333333333333,0.875,0.875,0.001075,True,prototype_soft,True
55,0.75,0.75,0.75,1.0,0.013349999999999999,True,prototype_soft,True
56,0.5,0.6666666666666666,0.5,0.5,0.00041249999999999994,True,prototype_soft,True
57,0.875,0.8333333333333333,0.625,0.875,0.0025125,True,prototype_soft,True
58,0.625,0.5,0.5,1.0,0.0009875,True,prototype_soft,True
59,0.125,0.29166666666666663,0.375,0.125,-0.00016250000000000002,True,prototype_soft,True
60,0.875,0.8333333333333333,0.75,0.75,0.002075,True,prototype_soft,True
61,0.75,0.75,0.75,0.8125,0.0019749999999999998,True,prototype_soft,True
62,0.75,0.5833333333333333,0.75,0.875,0.001925,True,prototype_soft,True
